FileName,Title,Date,Status,Error
제4대국회 1959년도 국정감사 국방위원회(전체회의) (1959.10.01.).hwp,제4대국회 1959년도 국정감사 국방위원회(전체회의),1959-10-01,실패,"['BodyText', 'Section0']: HWP record 파싱 실패 - record payload가 Section 범위를 벗어났습니다 (offset=292, size=4294967295, length=11363)"
제4대국회 1959년도 국정감사 국방위원회(전체회의) (1959.10.23.).hwp,제4대국회 1959년도 국정감사 국방위원회(전체회의),1959-10-23,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제6대국회 제50회(임시회) 제1차 국회운영위원회(전체회의) (1965.05.28.).hwp,제6대국회 제50회(임시회) 제1차 국회운영위원회(전체회의),1965-05-28,실패,incomplete OLE sector
제6대국회 1965년도 국정감사 문교공보위원회(전체회의) (1965.11.04.).hwp,제6대국회 1965년도 국정감사 문교공보위원회(전체회의),1965-11-04,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제6대국회 제53회(정기회) 제2차 정치테러사건진상조사특별위원회소위원회(전체회의) (1965.11.12.).hwp,제6대국회 제53회(정기회) 제2차 정치테러사건진상조사특별위원회소위원회(전체회의),1965-11-12,실패,incomplete OLE sector
제6대국회 제53회(정기회) 제2차 정치테러사건진상조사특별위원회소위원회(전체회의) (1965.11.12.)_11326.hwp,제6대국회 제53회(정기회) 제2차 정치테러사건진상조사특별위원회소위원회(전체회의),1965-11-12,실패,incomplete OLE sector
제6대국회 제54회(임시회) 제3차 내무위원회(전체회의) (1966.01.20.).hwp,제6대국회 제54회(임시회) 제3차 내무위원회(전체회의),1966-01-20,실패,incomplete OLE sector
제6대국회 제55회(임시회) 제3차 상공위원회(전체회의) (1966.03.15.).hwp,제6대국회 제55회(임시회) 제3차 상공위원회(전체회의),1966-03-15,실패,incomplete OLE sector
제7대국회 제69회(임시회) 제9차 국회본회의(전체회의) (1969.04.17.).hwp,제7대국회 제69회(임시회) 제9차 국회본회의(전체회의),1969-04-17,실패,incomplete OLE sector
제7대국회 제69회(임시회) 제8차 교통체신위원회(전체회의) (1969.04.24.).hwp,제7대국회 제69회(임시회) 제8차 교통체신위원회(전체회의),1969-04-24,실패,incomplete OLE sector
제7대국회 제69회(임시회) 제8차 교통체신위원회(전체회의) (1969.04.24.)_4919.hwp,제7대국회 제69회(임시회) 제8차 교통체신위원회(전체회의),1969-04-24,실패,incomplete OLE sector
제7대국회 1969년도 국정감사 내무위원회(전체회의) (1969.12.06.).hwp,제7대국회 1969년도 국정감사 내무위원회(전체회의),1969-12-06,실패,BodyText/Section을 찾지 못했습니다.
제7대국회 제73회(임시회) 제2차 농림위원회(전체회의) (1970.05.19.).hwp,제7대국회 제73회(임시회) 제2차 농림위원회(전체회의),1970-05-19,실패,incomplete OLE sector
제8대국회 1971년도 국정감사 보건사회위원회(전체회의) (1971.10.30.).hwp,제8대국회 1971년도 국정감사 보건사회위원회(전체회의),1971-10-30,실패,BodyText/Section을 찾지 못했습니다.
제14대국회 1992년도 국정감사 농림수산위원회(전체회의) (1992.10.19.).hwp,제14대국회 1992년도 국정감사 농림수산위원회(전체회의),1992-10-19,실패,incomplete OLE sector
제14대국회 1992년도 국정감사 농림수산위원회(전체회의) (1992.10.21.).hwp,제14대국회 1992년도 국정감사 농림수산위원회(전체회의),1992-10-21,실패,incomplete OLE sector
제14대국회 1992년도 국정감사 농림수산위원회(전체회의) (1992.10.21.)_22785.hwp,제14대국회 1992년도 국정감사 농림수산위원회(전체회의),1992-10-21,실패,incomplete OLE sector
제14대국회 1992년도 국정감사 법제사법위원회(전체회의) (1992.10.23.).hwp,제14대국회 1992년도 국정감사 법제사법위원회(전체회의),1992-10-23,부분성공,"['BodyText', 'Section3']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check | ['BodyText', 'Section9']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check | ['BodyText', 'Section10']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제14대국회 제161회(임시회) 제4차 건설위원회(전체회의) (1993.05.13.).hwp,제14대국회 제161회(임시회) 제4차 건설위원회(전체회의),1993-05-13,실패,incomplete OLE sector
제14대국회 1993년도 국정감사 교통체신위원회(전체회의) (1993.10.07.).hwp,제14대국회 1993년도 국정감사 교통체신위원회(전체회의),1993-10-07,실패,incomplete OLE sector
제14대국회 1993년도 국정감사 농림수산위원회(전체회의) (1993.10.20.).hwp,제14대국회 1993년도 국정감사 농림수산위원회(전체회의),1993-10-20,실패,incomplete OLE sector
제14대국회 1993년도 국정감사 상공자원위원회(전체회의) (1993.10.20.).hwp,제14대국회 1993년도 국정감사 상공자원위원회(전체회의),1993-10-20,실패,incomplete OLE sector
제14대국회 1993년도 국정감사 법제사법위원회(전체회의) (1993.10.21.).hwp,제14대국회 1993년도 국정감사 법제사법위원회(전체회의),1993-10-21,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
제14대국회 제165회(정기회) 제5차 국방위원회(전체회의) (1993.11.15.).hwp,제14대국회 제165회(정기회) 제5차 국방위원회(전체회의),1993-11-15,실패,incomplete OLE sector
제14대국회 제165회(정기회) 제6차 국방위원회(전체회의) (1993.11.16.).hwp,제14대국회 제165회(정기회) 제6차 국방위원회(전체회의),1993-11-16,실패,incomplete OLE sector
제14대국회 1994년도 국정감사 체신과학기술위원회(전체회의) (1994.09.29.).hwp,제14대국회 1994년도 국정감사 체신과학기술위원회(전체회의),1994-09-29,실패,incomplete OLE sector
제14대국회 1994년도 국정감사 교통위원회(전체회의) (1994.10.05.).hwp,제14대국회 1994년도 국정감사 교통위원회(전체회의),1994-10-05,실패,"['BodyText', 'Section0']: 압축 해제 실패 - Error -3 while decompressing data: incorrect header check"
