번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
1,제4대,강성태,자유당,,경기 양주을,남,초선,지역구
2,제4대,강영훈,민주당,,경기 양주갑,남,재선,지역구
3,제4대,강종무,자유당,,경남 김해갑,남,초선,지역구
4,제4대,계광순,민주당,,강원 춘천,남,3선,지역구
5,제4대,고담용,민주당,,제주 제주,남,재선,지역구
6,제4대,곽상훈,민주당,,경기 인천시을,남,5선,지역구
7,제4대,곽의영,자유당,,충북 청원을,남,3선,지역구
8,제4대,구철회,민주당,,경기 용인,남,초선,지역구
9,제4대,구태회,자유당,,경남 진양,남,6선,지역구
10,제4대,구흥남,자유당,,전남 화순,남,재선,지역구
11,제4대,국쾌남,자유당,,전남 담양,남,초선,지역구
12,제4대,권복인,자유당,,충북 옥천군,남,초선,지역구
13,제4대,권오종,민주당,,경북 안동갑,남,재선,지역구
14,제4대,권중돈,민주당,,경북 영천군을,남,5선,지역구
15,제4대,김공평,자유당,,충남 논산갑,남,초선,지역구
16,제4대,김규만,민주당,,경북 의성갑,남,초선,지역구
17,제4대,김도연,민주당,,서울 서대문구갑,남,6선,지역구
18,제4대,김동석,자유당,,경북 선산,남,초선,지역구
19,제4대,김동욱,민주당,,"경남 부산시,서구을",남,3선,지역구
20,제4대,김두진,자유당,,제주 북제주,남,재선,지역구
21,제4대,김병순,자유당,,전남 해남군갑,남,4선,지역구
22,제4대,김삭,민주당,,전남 무안병,남,초선,지역구
23,제4대,김상도,자유당,,경북 영천갑,남,재선,지역구
24,제4대,김상돈,민주당,,서울 마포구,남,4선,지역구
25,제4대,김석진,자유당,,전남 해남을,남,초선,지역구
26,제4대,김선우,자유당,,충북 보은,남,재선,지역구
27,제4대,김선태,민주당,,전남 완도군,남,3선,지역구
28,제4대,김성곤,자유당,,경북 달성군,남,4선,지역구
29,제4대,김성탁,자유당,,경남 울산군을,남,초선,지역구
30,제4대,김용진,민주당,,경남 진주,남,재선,지역구
31,제4대,김우동,자유당,,경북 선산,남,재선,지역구
32,제4대,김원규,자유당,,경북 영덕군,남,재선,지역구
33,제4대,김원만,민주당,,서울 용산구을,남,5선,지역구
34,제4대,김원전,자유당,,전북 군산,남,초선,지역구
35,제4대,김원중,자유당,,전북 이리,남,초선,지역구
36,제4대,김원태,자유당,,충북 괴산군,남,3선,지역구
37,제4대,김응주,민주당,,"경남 부산시,중구",남,4선,지역구
38,제4대,김의준,자유당,,경기 여주군,남,3선,지역구
39,제4대,김의택,민주당,,전남 함평군,남,4선,지역구
40,제4대,김익기,자유당,,경북 안동을,남,5선,지역구
41,제4대,김익노,자유당,,경북 영일군을,남,4선,지역구
42,제4대,김인호,자유당,,"경남 부산시,동래구",남,초선,지역구
43,제4대,김장섭,자유당,,경북 영일군을,남,4선,지역구
44,제4대,김재곤,민주당,,경기 인천시갑,남,3선,지역구
