번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
1,제헌,강기문,무소속,,경남 산청,남,초선,지역구
2,제헌,강달수,부산15구락부,,경남 하동,남,초선,지역구
3,제헌,강선명,무소속,,전남 목포,남,초선,지역구
4,제헌,강욱중,조선민족청년단,,경남 함안,남,초선,지역구
5,제헌,곽상훈,무소속,,경기 인천갑,남,5선,지역구
6,제헌,구중회,무소속,,경남 창녕,남,초선,지역구
7,제헌,권병노,대한독립촉성국민회,,경북 의성을,남,재선,지역구
8,제헌,권태욱,무소속,,경남 마산,남,재선,지역구
9,제헌,권태희,무소속,,경북 김천갑,남,초선,지역구
10,제헌,김경도,대한독립촉성국민회,,경남 함양,남,초선,지역구
11,제헌,김경배,무소속,,황해도 연백갑,남,재선,지역구
12,제헌,김광준,무소속,,경북 울진,남,3선,지역구
13,제헌,김교중,대동청년당,,전북 무주,남,초선,지역구
14,제헌,김교현,무소속,,충북 보은,남,초선,지역구
15,제헌,김기철,대동청년당,,충북 충주,남,4선,지역구
16,제헌,김덕열,무소속,,경기 양주갑,남,초선,지역구
17,제헌,김도연,한국민주당,,서울 서대문구,남,6선,지역구
18,제헌,김동원,한국민주당,,서울 용산구,남,초선,지역구
19,제헌,김동준,무소속,,충남 서산을,남,초선,지역구
20,제헌,김명동,무소속,,충남 공주갑,남,재선,지역구
21,제헌,김문평,대한독립촉성국민회,,전남 여수갑,남,초선,지역구
22,제헌,김병회,무소속,,전남 진도,남,초선,지역구
23,제헌,김봉두,무소속,,전북 장수,남,초선,지역구
24,제헌,김봉조,교육협회,,경북 청송,남,재선,지역구
25,제헌,김상덕,민족통일본부,,경북 고령,남,초선,지역구
26,제헌,김상돈,무소속,,서울 마포구,남,4선,지역구
27,제헌,김상순,한국민주당,,전남 장성,남,초선,지역구
28,제헌,김상호,한국민주당,,전남 나주을,남,초선,지역구
29,제헌,김수선,무소속,,경남 울산을,남,재선,지역구
30,제헌,김약수,조선공화당,,경남 동래,남,초선,지역구
31,제헌,김영기,대한독립촉성국민회,,경기 안성,남,초선,지역구
32,제헌,김영동,무소속,,전북 고창갑,남,초선,지역구
33,제헌,김옥주,무소속,,전남 광양,남,초선,지역구
34,제헌,김용재,대한독립촉성국민회,,충남 당진,남,초선,지역구
35,제헌,김용현,한국민주당,,전남 무안갑,남,초선,지역구
36,제헌,김용화,무소속,,충남 천안,남,재선,지역구
37,제헌,김우식,전도회,,경북 달성,남,초선,지역구
38,제헌,김웅권,무소속,,경기 파주,남,초선,지역구
39,제헌,김웅진,무소속,,경기 수원을,남,재선,지역구
40,제헌,김익기,대한독립촉성국민회,,경북 안동갑,남,5선,지역구
41,제헌,김익노,무소속,,경북 영일을,남,4선,지역구
42,제헌,김인식,대동청년당,,경기 옹진을,남,초선,지역구
43,제헌,김장열,무소속,,전남 완도,남,초선,지역구
44,제헌,김재학,한국민주당,,경남 통영갑,남,초선,지역구
45,제헌,김종문,한국민주당,,전북 정읍을,남,초선,지역구
46,제헌,김종선,한국민주당,,전남 구례,남,초선,지역구
47,제헌,김준연,한국민주당,,전남 영암,남,5선,지역구
48,제헌,김중기,무소속,,전남 장흥,남,초선,지역구
49,제헌,김진구,대한독립촉성국민회,,강원 삼척,남,재선,지역구
50,제헌,김철,대한독립촉성국민회,,경북 경주갑,남,재선,지역구
51,제헌,김철수,대한독립촉성국민회,,충남 부여을 ,남,초선,지역구
52,제헌,김태수,대한독립촉성국민회,,경남 창원갑,남,초선,지역구
53,제헌,김효석,대한독립촉성국민회,,경남 합천을,남,초선,지역구
54,제헌,나용균,한국민주당,,전북 정읍갑,남,4선,지역구
55,제헌,남궁현,대한독립촉성국민회,,충남 부여갑,남,초선,지역구
56,제헌,노일환,한국민주당,,전북 순창,남,초선,지역구
57,제헌,문시환,조선민족청년단,,경남 부산갑,남,초선,지역구
58,제헌,민경식,대한독립촉성국민회,,경기 용인,남,초선,지역구
59,제헌,박기운,무소속,,충북 청주,남,3선,지역구
60,제헌,박상영,한국민주당,,경북 예천,남,초선,지역구
61,제헌,박순석,무소속,,경북 영일갑,남,3선,지역구
62,제헌,박우경,무소속,,충북 영동,남,초선,지역구
63,제헌,박윤원,무소속,,경남 남해,남,초선,지역구
64,제헌,박종남,무소속,,전남 광산,남,초선,지역구
65,제헌,박종환,대한독립촉성국민회,,경북 청도,남,초선,지역구
66,제헌,박준,무소속,,경북 군위,남,초선,지역구
67,제헌,박찬현,무소속,,경남 부산정,남,4선,지역구
68,제헌,박해극,무소속,,경남 밀양을,남,초선,지역구
69,제헌,박해정,무소속,,경북 경산,남,4선,지역구
70,제헌,배중혁,대동청년당,,경북 봉화,남,초선,지역구
71,제헌,배헌,무소속,,전북 이리,남,초선,지역구
72,제헌,백관수,한국민주당,,전북 고창을,남,초선,지역구
73,제헌,백남채,한국민주당,,경북 대구병,남,초선,지역구
74,제헌,백형남,대동청년당,,전북 익산갑,남,초선,지역구
75,제헌,서상일,한국민주당,,경북 대구을,남,재선,지역구
76,제헌,서성달,대한독립촉성국민회,,경기 고양갑,남,초선,지역구
77,제헌,서순영,무소속,,경남 통영을,남,초선,지역구
78,제헌,서용길,무소속,,충남 아산,남,초선,지역구
79,제헌,서우석,한국민주당,,전남 곡성,남,초선,지역구
80,제헌,서이환,무소속,,경북 울릉,남,재선,지역구
81,제헌,서정희,한국민주당,,경기 포천,남,초선,지역구
82,제헌,성낙서,대한독립촉성국민회,,충남 대전,남,초선,지역구
83,제헌,손재학,대한독립촉성국민회,,충남 홍성,남,초선,지역구
84,제헌,송봉해,대한독립촉성국민회,,전남 해남갑,남,초선,지역구
85,제헌,송진백,대한독립촉성국민회,,충남 대덕,남,초선,지역구
86,제헌,송창식,대한독립촉성국민회,,경기 이천,남,초선,지역구
87,제헌,송필만,한국민주당,,충북 진천,남,재선,지역구
88,제헌,신광균,대한독립촉성국민회,,경기 개풍,남,재선,지역구
89,제헌,신방현,무소속,,충남 공주을,남,초선,지역구
90,제헌,신상학,무소속,,경남 김해갑,남,초선,지역구
91,제헌,신성균,무소속,,전북 전주,남,초선,지역구
92,제헌,신익희,대한독립촉성국민회,,전남 광주,남,3선,지역구
93,제헌,신현돈,대한독립촉성국민회,,전북 무주,남,재선,지역구
94,제헌,신현모,한국민주당,,황해도 연백을,남,초선,지역구
95,제헌,안준상,조선민족청년단,,경남 의령,남,초선,지역구
96,제헌,양병직,대동청년당,,제주 북제주을,남,초선,지역구
