Assembly_Num,Title_Role,Speaker,Evidence_Count,Distinct_Contexts
제2대,감찰위원장,노진설,4,4
제2대,공보처장,이철원,4,4
제2대,교통부장관,김석관,32,28
제2대,교통부차관,김석명,14,10
제2대,국무총리,백두진,29,24
제2대,국무총리서리,백두진,4,4
제2대,국방부장관,손원일,9,9
제2대,국방부장관,신성모,3,3
제2대,국방부장관,신태영,21,17
제2대,국방부차관,김일환,49,19
제2대,국방부차관,이호,3,3
제2대,기획처장,백두진,5,5
제2대,내무부장관,김태선,13,8
제2대,내무부장관,백한성,28,18
제2대,내무부장관,이순용,13,12
제2대,내무부차관,이병호,7,7
제2대,내무부차관,홍헌표,53,28
제2대,농림부장관,공진항,9,9
제2대,농림부장관,양성봉,3,2
제2대,농림부장관,임문환,54,36
제2대,농림부장관,함인섭,19,16
제2대,농림부차관,정재설,44,29
제2대,농림부차관,주석균,6,6
제2대,대법원장,김병로,10,7
제2대,문교부장관,백낙준,28,23
제2대,문교부차관,허증수,3,3
제2대,법무부장관,서상환,27,20
제2대,법무부장관,조진만,26,17
제2대,법무부차관,김윤근,13,10
제2대,법무부차관,민복기,5,4
제2대,법무부차관,정재환,6,5
제2대,법무부차관,홍진기,3,3
제2대,법제사법위원장대리,업상섭,3,2
제2대,법제처장,신태익,40,31
제2대,보건부장관,최재유,9,9
제2대,보건부차관,임문환,3,3
제2대,보건부차관,최재유,14,12
제2대,부의장,조봉,5,5
제2대,사무총장,박종만,21,14
제2대,사무총장,이수선,6,6
제2대,사회부장관,박술음,11,11
제2대,사회부장관,최창순,9,6
제2대,사회부차관,김용택,17,13
제2대,사회부차관,최창순,23,17
제2대,상공부장관,안동혁,12,8
제2대,상공부차관,이내호,5,5
제2대,상공부차관,이병호,11,10
제2대,상공부차관,임정규,4,4
제2대,외무부장관,변영태,64,41
제2대,외무부차관,조정환,14,11
제2대,의사국장,서상준,386,123
제2대,의사국장,허남수,22,12
제2대,재무부장관,박희현,36,23
제2대,재무부장관,백두진,96,68
제2대,재무부차관,김유택,64,50
제2대,재무부차관,박희현,120,62
제2대,체신부차관,강직순,8,8
제2대,총무국장,조중서,66,13
제3대,공군참모차장,김창규,3,3
제3대,공군참모총장,장덕창,5,5
제3대,공보실장,갈홍기,33,29
제3대,공보실장,오재경,15,13
제3대,공보처장,갈홍기,4,4
제3대,관재국장,김준환,32,28
제3대,교통부경리국장,이동희,4,4
제3대,교통부장관,문봉제,66,45
제3대,교통부장관,이종림,57,46
제3대,교통부차관,김윤기,32,28
제3대,교통부차관,석상옥,5,5
제3대,구황실사무총국장,윤우경,3,3
제3대,구황실재산관리국장,윤우경,3,3
제3대,구황실재산관리사무총국장,윤우경,3,2
제3대,구황실총무국장,윤우경,5,5
제3대,국무원사무국장,문봉제,41,31
제3대,국무원사무국장,신두영,10,7
제3대,국무총리,변영태,41,31
제3대,국방부경리국장,최경남,4,3
제3대,국방부장관,김정열,64,52
제3대,국방부장관,손원일,18,15
제3대,국방부차관,김종갑,11,10
제3대,국방부차관,이호,40,32
제3대,국방부차관,최세황,14,12
제3대,국방위원장,류지원,36,22
제3대,기획처예산국장,오림근,48,36
제3대,내무부장관,김형근,72,58
제3대,내무부장관,백한성,46,30
제3대,내무부장관,이근직,49,40
제3대,내무부차관,우만형,17,9
제3대,내무부치안국장,서정학,5,5
