Assembly_Num,Role_Group,Speaker,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Speech_Count,Total_Chars,Primary_Role,Keyword_Per_1k_Chars,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Share_of_Chars
제2대,국무위원,백두진,38,132,7,7,9,5,177,21,198,130,353479,재무부장관,0.56,0.501,0.059,0.09197
제2대,의원,임기봉,20,1,131,2,2,0,152,4,156,60,85916,의원,1.816,1.769,0.047,0.02235
제2대,국무위원,박희현,10,85,0,8,16,0,95,24,119,156,271521,재무부차관,0.438,0.35,0.088,0.07065
제2대,의원,이종형,6,1,44,30,20,4,51,54,105,235,324968,의원,0.323,0.157,0.166,0.08455
제2대,정부위원,서상준,6,2,38,27,7,3,46,37,83,387,383819,의사국장,0.216,0.12,0.096,0.09987
제2대,국무위원,김유택,9,55,0,1,9,1,64,11,75,65,47756,재무부차관,1.57,1.34,0.23,0.01243
제2대,국무위원,최창순,8,1,37,3,9,0,46,12,58,32,71867,사회부차관,0.807,0.64,0.167,0.0187
제2대,국무위원,김용택,1,0,44,0,0,0,45,0,45,19,19506,사회부차관,2.307,2.307,0.0,0.00508
제2대,국무위원,김훈,29,0,9,5,2,0,38,7,45,20,55161,상공부장관,0.816,0.689,0.127,0.01435
제2대,국무위원,허정,18,1,7,8,10,0,26,18,44,42,116931,국무총리서리,0.376,0.222,0.154,0.03042
제2대,사무처,박종만,0,1,23,0,2,0,24,2,26,22,139545,사무총장,0.186,0.172,0.014,0.03631
제2대,국무위원,김일환,17,0,1,1,3,0,18,4,22,49,82946,국방부차관,0.265,0.217,0.048,0.02158
제2대,국무위원,장경근,10,0,0,2,9,0,10,11,21,50,115494,국방부차관,0.182,0.087,0.095,0.03005
제2대,국무위원,김석관,13,1,3,1,3,0,17,4,21,32,66687,교통부장관,0.315,0.255,0.06,0.01735
제2대,국무위원,임문환,15,1,1,0,2,0,17,2,19,57,129659,농림부장관,0.147,0.131,0.015,0.03374
제2대,국무위원,장면,10,2,0,2,2,0,12,4,16,37,111415,국무총리,0.144,0.108,0.036,0.02899
제2대,국무위원,황호현,0,0,7,3,4,0,7,7,14,24,50292,내무부차관,0.278,0.139,0.139,0.01309
제2대,국무위원,정재설,6,5,2,0,1,0,13,1,14,44,72016,농림부차관,0.194,0.181,0.014,0.01874
제2대,기타,신태익,6,5,1,0,2,0,12,2,14,40,88122,법제처장,0.159,0.136,0.023,0.02293
제2대,국무위원,변영태,4,0,0,2,5,2,4,9,13,65,133481,외무부장관,0.097,0.03,0.067,0.03473
제2대,국무위원,백낙준,8,2,0,0,2,0,10,2,12,28,74571,문교부장관,0.161,0.134,0.027,0.0194
제2대,기타,백두진,0,7,3,1,0,0,10,1,11,5,15080,기획처장,0.729,0.663,0.066,0.00392
제2대,국무위원,원용석,6,2,0,0,2,1,8,3,11,32,64276,농림부차관,0.171,0.124,0.047,0.01672
제2대,국무위원,최재유,6,0,0,0,1,4,6,5,11,22,31408,보건부차관,0.35,0.191,0.159,0.00817
제2대,기타,원용석,3,5,1,0,1,0,9,1,10,38,53897,기획처장,0.186,0.167,0.019,0.01402
제2대,국무위원,함인섭,5,0,1,2,1,0,6,3,9,19,34178,농림부장관,0.263,0.176,0.088,0.00889
제2대,국무위원,박술음,4,0,3,1,0,1,7,2,9,11,21261,사회부장관,0.423,0.329,0.094,0.00553
제2대,국무위원,홍범희,2,0,1,0,4,0,3,4,7,39,54037,내무부차관,0.13,0.056,0.074,0.01406
제2대,국무위원,임정규,7,0,0,0,0,0,7,0,7,4,3089,상공부차관,2.266,2.266,0.0,0.0008
제2대,국무위원,조진만,1,0,0,0,5,0,1,5,6,26,25700,법무부장관,0.233,0.039,0.195,0.00669
제2대,국무위원,손원일,0,0,4,2,0,0,4,2,6,9,18560,국방부장관,0.323,0.216,0.108,0.00483
제2대,국무위원,홍헌표,3,0,0,0,3,0,3,3,6,53,56495,내무부차관,0.106,0.053,0.053,0.0147
제2대,정부위원,조중서,0,1,3,1,0,0,4,1,5,66,44979,총무국장,0.111,0.089,0.022,0.0117
제2대,국무위원,이내호,1,0,0,0,0,4,1,4,5,5,4340,상공부차관,1.152,0.23,0.922,0.00113
제2대,기타,이철원,0,0,0,1,2,1,0,4,4,4,24270,공보처장,0.165,0.0,0.165,0.00631
제2대,국무위원,장석윤,0,0,0,1,1,1,0,3,3,10,17413,내무부장관,0.172,0.0,0.172,0.00453
제2대,국무위원,강직순,2,0,0,0,1,0,2,1,3,8,9501,체신부차관,0.316,0.211,0.105,0.00247
제2대,국무위원,신성모,0,0,0,1,2,0,0,3,3,3,9911,국방부장관,0.303,0.0,0.303,0.00258
제2대,국무위원,김법린,2,0,0,1,0,0,2,1,3,16,27147,문교부장관,0.111,0.074,0.037,0.00706
제2대,국무위원,신태영,1,0,0,0,2,0,1,2,3,21,26129,국방부장관,0.115,0.038,0.077,0.0068
제2대,의원,김익로,0,0,0,1,1,0,0,2,2,55,28853,의원,0.069,0.0,0.069,0.00751
제2대,국무위원,함덕용,1,1,0,0,0,0,2,0,2,1,3485,상공부차관,0.574,0.574,0.0,0.00091
제2대,의원,정남상,2,0,0,0,0,0,2,0,2,1,1960,의원,1.02,1.02,0.0,0.00051
제2대,국무위원,이기붕,0,0,0,1,1,0,0,2,2,7,8617,국방부장관,0.232,0.0,0.232,0.00224
제2대,의원,이선교,1,0,1,0,0,0,2,0,2,1,9360,전문위원,0.214,0.214,0.0,0.00244
제2대,국무위원,백한성,0,1,0,1,0,0,1,1,2,29,35634,내무부장관,0.056,0.028,0.028,0.00927
제2대,국무위원,정준모,2,0,0,0,0,0,2,0,2,7,15601,보건부차관,0.128,0.128,0.0,0.00406
제2대,국무위원,강인택,0,0,0,1,1,0,0,2,2,2,3572,체신부장관,0.56,0.0,0.56,0.00093
제2대,위원장,업상섭,0,0,0,2,0,0,0,2,2,5,3003,법제사법위원장대리,0.666,0.0,0.666,0.00078
제2대,국무위원,주석균,1,0,1,0,0,0,2,0,2,6,9522,농림부차관,0.21,0.21,0.0,0.00248
제2대,국무위원,갈홍기,0,0,0,1,0,0,0,1,1,2,2945,외무부차관,0.34,0.0,0.34,0.00077
제2대,사무처,이수선,0,0,0,1,0,0,0,1,1,6,2685,사무총장,0.372,0.0,0.372,0.0007
제2대,국무위원,정재환,0,0,0,1,0,0,0,1,1,7,6780,법무부차관,0.147,0.0,0.147,0.00176
제2대,국무위원,이병호,1,0,0,0,0,0,1,0,1,18,18410,상공부차관,0.054,0.054,0.0,0.00479
제2대,국무위원,이순용,1,0,0,0,0,0,1,0,1,14,14420,내무부장관,0.069,0.069,0.0,0.00375
제2대,국무위원,김석명,0,0,0,1,0,0,0,1,1,14,8376,교통부차관,0.119,0.0,0.119,0.00218
제2대,의원,미국상원,0,1,0,0,0,0,1,0,1,2,3883,의원,0.258,0.258,0.0,0.00101
제2대,국무위원,진헌식,0,0,1,0,0,0,1,0,1,6,9176,내무부장관,0.109,0.109,0.0,0.00239
제2대,국무위원,안동혁,1,0,0,0,0,0,1,0,1,12,26720,상공부장관,0.037,0.037,0.0,0.00695
제2대,국무위원,김윤근,0,0,0,0,0,0,0,0,0,13,11854,법무부차관,0.0,0.0,0.0,0.00308
제2대,국무위원,백락준,0,0,0,0,0,0,0,0,0,2,3227,문교부장관,0.0,0.0,0.0,0.00084
제2대,국무위원,공진항,0,0,0,0,0,0,0,0,0,9,9814,농림부장관,0.0,0.0,0.0,0.00255
제2대,국무위원,이호,0,0,0,0,0,0,0,0,0,3,703,국방부차관,0.0,0.0,0.0,0.00018
제2대,의장단,심익희,0,0,0,0,0,0,0,0,0,1,13,의장,0.0,0.0,0.0,0.0
제2대,정부위원,인태식,0,0,0,0,0,0,0,0,0,2,773,관재청장,0.0,0.0,0.0,0.0002
제2대,의원,업상섭,0,0,0,0,0,0,0,0,0,1,386,의원,0.0,0.0,0.0,0.0001
제2대,위원장,류덕천,0,0,0,0,0,0,0,0,0,1,4845,농림위원장대리,0.0,0.0,0.0,0.00126
제2대,의장단,류테리오,0,0,0,0,0,0,0,0,0,1,4271,의장,0.0,0.0,0.0,0.00111
제2대,정부위원,장흥,0,0,0,0,0,0,0,0,0,1,1231,병무국장,0.0,0.0,0.0,0.00032
제2대,정부위원,허남수,0,0,0,0,0,0,0,0,0,22,1676,의사국장,0.0,0.0,0.0,0.00044
제2대,기타,구영숙,0,0,0,0,0,0,0,0,0,1,4614,대한적십자사총재,0.0,0.0,0.0,0.0012
제2대,의장단,운치영,0,0,0,0,0,0,0,0,0,1,29,부의장,0.0,0.0,0.0,0.00001
제2대,국무위원,강성태,0,0,0,0,0,0,0,0,0,14,19685,재무부차관,0.0,0.0,0.0,0.00512
제2대,기타,박종만,0,0,0,0,0,0,0,0,0,1,1487,사무처장,0.0,0.0,0.0,0.00039
제2대,위원장,대리,0,0,0,0,0,0,0,0,0,3,2807,재정경제위원장,0.0,0.0,0.0,0.00073
제2대,국무위원,변태영,0,0,0,0,0,0,0,0,0,1,1860,외무부장관,0.0,0.0,0.0,0.00048
제2대,위원장,김익로,0,0,0,0,0,0,0,0,0,1,255,농림위원장대리,0.0,0.0,0.0,0.00007
제2대,의장단,서상준,0,0,0,0,0,0,0,0,0,1,2842,의장국장,0.0,0.0,0.0,0.00074
