Assembly_Num,Party,Distinct_Speakers,Speech_Count,Speeches_Per_Speaker,Total_Chars,Share_of_Chars,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Keyword_Per_1k_Chars
제2대,대한노동총연맹,2,52,26.0,62068,0.0037,0,0,653,1,1,0,653,2,655,10.521,0.032,10.553
제2대,조선민주당,1,133,133.0,127952,0.00763,7,0,146,5,5,3,153,13,166,1.196,0.102,1.297
제2대,일민국락부,2,145,72.5,251283,0.01498,12,9,155,6,11,4,176,21,197,0.7,0.084,0.784
제2대,민주국민당,21,4551,216.71,2472890,0.14745,68,637,468,71,96,12,1173,179,1352,0.474,0.072,0.547
제2대,대한국민당,23,10687,464.65,4195071,0.25013,246,745,837,118,109,62,1828,289,2117,0.436,0.069,0.505
제2대,대한청년단,9,324,36.0,362168,0.02159,22,12,101,8,14,6,135,28,163,0.373,0.077,0.45
제2대,무소속,104,9591,92.22,8887288,0.52991,492,499,1680,286,344,85,2671,715,3386,0.301,0.08,0.381
제2대,대한부인회,1,22,22.0,28257,0.00168,1,0,6,0,3,0,7,3,10,0.248,0.106,0.354
제2대,대한독립촉성국민회,8,399,49.88,233280,0.01391,3,13,25,10,12,1,41,23,64,0.176,0.099,0.274
제2대,중앙불교위원회,1,40,40.0,61631,0.00367,0,1,3,6,3,0,4,9,13,0.065,0.146,0.211
제2대,자유당,3,47,15.67,73394,0.00438,0,0,0,6,1,0,0,7,7,0.0,0.095,0.095
제2대,애국단체연합회,1,17,17.0,16160,0.00096,1,0,0,0,0,0,1,0,1,0.062,0.0,0.062
제3대,국민회,3,20,6.67,18613,0.00066,7,0,0,3,0,0,7,3,10,0.376,0.161,0.537
제3대,자유당,117,27974,239.09,17442182,0.61909,1264,1344,599,724,652,152,3207,1528,4735,0.184,0.088,0.271
제3대,국민당,3,247,82.33,466592,0.01656,33,6,25,33,19,1,64,53,117,0.137,0.114,0.251
제3대,무소속,62,8266,133.32,6754222,0.23973,421,362,187,361,237,39,970,637,1607,0.144,0.094,0.238
제3대,민주국민당,15,2129,141.93,3447902,0.12238,181,165,79,212,125,13,425,350,775,0.123,0.102,0.225
제3대,제헌국회호헌동지회,1,9,9.0,18351,0.00065,0,0,0,2,1,1,0,4,4,0.0,0.218,0.218
제3대,민주당,1,5,5.0,14747,0.00052,0,0,0,1,0,0,0,1,1,0.0,0.068,0.068
제3대,호헌동지회,1,5,5.0,11361,0.0004,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
제4대,무소속,27,4027,149.15,2063513,0.10903,183,118,127,91,91,26,428,208,636,0.207,0.101,0.308
제4대,자유당,122,21086,172.84,6796848,0.35911,908,274,170,241,289,91,1352,621,1973,0.199,0.091,0.29
제4대,민주당,79,12184,154.23,10034439,0.53017,755,556,402,547,431,94,1713,1072,2785,0.171,0.107,0.278
제4대,통일당,1,43,43.0,31981,0.00169,0,0,0,4,3,0,0,7,7,0.0,0.219,0.219
제헌,대한노동총연맹,1,35,35.0,59182,0.00419,3,0,185,10,4,0,188,14,202,3.177,0.237,3.413
제헌,부산15구락부,1,14,14.0,1559,0.00011,0,0,0,0,2,0,0,2,2,0.0,1.283,1.283
제헌,대한여자국민당,1,102,102.0,73416,0.00519,22,0,10,9,4,2,32,15,47,0.436,0.204,0.64
제헌,조선민족청년단,6,465,77.5,329105,0.02328,96,0,53,10,11,2,149,23,172,0.453,0.07,0.523
제헌,대동청년당,13,683,52.54,330710,0.02339,18,8,87,17,20,1,113,38,151,0.342,0.115,0.457
제헌,대한독립촉성국민회,56,8296,148.14,2920117,0.20657,263,325,161,91,167,39,749,297,1046,0.256,0.102,0.358
제헌,무소속,88,9255,105.17,5199015,0.36777,601,63,335,307,287,60,999,654,1653,0.192,0.126,0.318
제헌,한국민주당,30,11568,385.6,4502651,0.31851,286,405,229,158,213,90,920,461,1381,0.204,0.102,0.307
제헌,조선민주당,1,33,33.0,36652,0.00259,0,0,0,6,3,0,0,9,9,0.0,0.246,0.246
제헌,전도회,1,123,123.0,33474,0.00237,0,0,0,6,2,0,0,8,8,0.0,0.239,0.239
제헌,단민당,1,97,97.0,60219,0.00426,0,1,1,3,9,0,2,12,14,0.033,0.199,0.232
제헌,교육협회,1,102,102.0,63587,0.0045,1,0,1,0,7,1,2,8,10,0.031,0.126,0.157
제헌,민주국민당,1,11,11.0,25757,0.00182,2,0,0,0,2,0,2,2,4,0.078,0.078,0.155
제헌,한국독립당,1,63,63.0,18739,0.00133,0,0,0,2,0,0,0,2,2,0.0,0.107,0.107
제헌,조선공화당,1,2115,2115.0,415382,0.02938,4,1,1,0,16,11,6,27,33,0.014,0.065,0.079
제헌,민족통일본부,1,79,79.0,66874,0.00473,4,0,0,1,0,0,4,1,5,0.06,0.015,0.075
