Source,Target,Weight,Edge_Type
제2대-S007|무소속,제2대-S007|민주국민당,1.0,within_session
제2대-S007|무소속,제2대-S007|대한국민당,0.0,within_session
제2대-S007|민주국민당,제2대-S007|대한국민당,0.0,within_session
제2대-S008|일민국락부,제2대-S008|대한독립촉성국민회,0.1451,within_session
제2대-S008|일민국락부,제2대-S008|무소속,0.9662,within_session
제2대-S008|일민국락부,제2대-S008|대한국민당,0.9437,within_session
제2대-S008|일민국락부,제2대-S008|조선민주당,0.1207,within_session
제2대-S008|일민국락부,제2대-S008|민주국민당,0.9915,within_session
제2대-S008|대한독립촉성국민회,제2대-S008|무소속,0.2599,within_session
제2대-S008|대한독립촉성국민회,제2대-S008|대한국민당,0.2514,within_session
제2대-S008|대한독립촉성국민회,제2대-S008|조선민주당,0.9245,within_session
제2대-S008|대한독립촉성국민회,제2대-S008|민주국민당,0.1493,within_session
제2대-S008|무소속,제2대-S008|대한국민당,0.9739,within_session
제2대-S008|무소속,제2대-S008|조선민주당,0.1881,within_session
제2대-S008|무소속,제2대-S008|민주국민당,0.9699,within_session
제2대-S008|대한국민당,제2대-S008|조선민주당,0.1961,within_session
제2대-S008|대한국민당,제2대-S008|민주국민당,0.969,within_session
제2대-S008|조선민주당,제2대-S008|민주국민당,0.0994,within_session
제2대-S009|무소속,제2대-S009|대한국민당,0.8485,within_session
제2대-S010|대한청년단,제2대-S010|조선민주당,0.2169,within_session
제2대-S010|대한청년단,제2대-S010|대한국민당,0.0371,within_session
제2대-S010|대한청년단,제2대-S010|대한독립촉성국민회,0.0,within_session
제2대-S010|대한청년단,제2대-S010|일민국락부,0.7006,within_session
제2대-S010|대한청년단,제2대-S010|민주국민당,0.253,within_session
제2대-S010|대한청년단,제2대-S010|무소속,0.3688,within_session
제2대-S010|대한청년단,제2대-S010|대한부인회,0.4243,within_session
제2대-S010|조선민주당,제2대-S010|대한국민당,0.0535,within_session
제2대-S010|조선민주당,제2대-S010|대한독립촉성국민회,0.0,within_session
제2대-S010|조선민주당,제2대-S010|일민국락부,0.1689,within_session
제2대-S010|조선민주당,제2대-S010|민주국민당,0.0867,within_session
제2대-S010|조선민주당,제2대-S010|무소속,0.5724,within_session
제2대-S010|조선민주당,제2대-S010|대한부인회,0.3068,within_session
제2대-S010|대한국민당,제2대-S010|대한독립촉성국민회,0.9973,within_session
제2대-S010|대한국민당,제2대-S010|일민국락부,0.0453,within_session
제2대-S010|대한국민당,제2대-S010|민주국민당,0.7778,within_session
제2대-S010|대한국민당,제2대-S010|무소속,0.7548,within_session
제2대-S010|대한국민당,제2대-S010|대한부인회,0.0477,within_session
제2대-S010|대한독립촉성국민회,제2대-S010|일민국락부,0.0,within_session
제2대-S010|대한독립촉성국민회,제2대-S010|민주국민당,0.7444,within_session
제2대-S010|대한독립촉성국민회,제2대-S010|무소속,0.7053,within_session
제2대-S010|대한독립촉성국민회,제2대-S010|대한부인회,0.0,within_session
제2대-S010|일민국락부,제2대-S010|민주국민당,0.5339,within_session
제2대-S010|일민국락부,제2대-S010|무소속,0.4288,within_session
제2대-S010|일민국락부,제2대-S010|대한부인회,0.1651,within_session
제2대-S010|민주국민당,제2대-S010|무소속,0.8339,within_session
제2대-S010|민주국민당,제2대-S010|대한부인회,0.3295,within_session
제2대-S010|무소속,제2대-S010|대한부인회,0.4221,within_session
제2대-S011|대한청년단,제2대-S011|중앙불교위원회,0.7954,within_session
제2대-S011|대한청년단,제2대-S011|무소속,0.4414,within_session
제2대-S011|대한청년단,제2대-S011|일민국락부,0.1597,within_session
제2대-S011|대한청년단,제2대-S011|민주국민당,0.4595,within_session
제2대-S011|대한청년단,제2대-S011|대한국민당,0.5551,within_session
제2대-S011|대한청년단,제2대-S011|조선민주당,0.7,within_session
제2대-S011|대한청년단,제2대-S011|대한독립촉성국민회,0.396,within_session
제2대-S011|중앙불교위원회,제2대-S011|무소속,0.4483,within_session
제2대-S011|중앙불교위원회,제2대-S011|일민국락부,0.239,within_session
제2대-S011|중앙불교위원회,제2대-S011|민주국민당,0.4515,within_session
제2대-S011|중앙불교위원회,제2대-S011|대한국민당,0.4973,within_session
제2대-S011|중앙불교위원회,제2대-S011|조선민주당,0.4286,within_session
제2대-S011|중앙불교위원회,제2대-S011|대한독립촉성국민회,0.3479,within_session
제2대-S011|무소속,제2대-S011|일민국락부,0.7955,within_session
제2대-S011|무소속,제2대-S011|민주국민당,0.4568,within_session
제2대-S011|무소속,제2대-S011|대한국민당,0.8743,within_session
제2대-S011|무소속,제2대-S011|조선민주당,0.4619,within_session
제2대-S011|무소속,제2대-S011|대한독립촉성국민회,0.3727,within_session
제2대-S011|일민국락부,제2대-S011|민주국민당,0.4121,within_session
제2대-S011|일민국락부,제2대-S011|대한국민당,0.6354,within_session
제2대-S011|일민국락부,제2대-S011|조선민주당,0.1195,within_session
제2대-S011|일민국락부,제2대-S011|대한독립촉성국민회,0.3881,within_session
제2대-S011|민주국민당,제2대-S011|대한국민당,0.7991,within_session
제2대-S011|민주국민당,제2대-S011|조선민주당,0.1888,within_session
제2대-S011|민주국민당,제2대-S011|대한독립촉성국민회,0.9895,within_session
제2대-S011|대한국민당,제2대-S011|조선민주당,0.5154,within_session
제2대-S011|대한국민당,제2대-S011|대한독립촉성국민회,0.7339,within_session
제2대-S011|조선민주당,제2대-S011|대한독립촉성국민회,0.116,within_session
제2대-S012|대한부인회,제2대-S012|민주국민당,0.2307,within_session
제2대-S012|대한부인회,제2대-S012|대한노동총연맹,1.0,within_session
제2대-S012|대한부인회,제2대-S012|자유당,0.0,within_session
제2대-S012|대한부인회,제2대-S012|대한청년단,0.0,within_session
제2대-S012|대한부인회,제2대-S012|일민국락부,0.5,within_session
제2대-S012|대한부인회,제2대-S012|조선민주당,0.9997,within_session
제2대-S012|대한부인회,제2대-S012|대한독립촉성국민회,0.0,within_session
제2대-S012|대한부인회,제2대-S012|대한국민당,0.4639,within_session
제2대-S012|대한부인회,제2대-S012|무소속,0.6155,within_session
제2대-S012|대한부인회,제2대-S012|중앙불교위원회,0.0,within_session
제2대-S012|민주국민당,제2대-S012|대한노동총연맹,0.2334,within_session
제2대-S012|민주국민당,제2대-S012|자유당,0.4487,within_session
제2대-S012|민주국민당,제2대-S012|대한청년단,0.845,within_session
제2대-S012|민주국민당,제2대-S012|일민국락부,0.7644,within_session
제2대-S012|민주국민당,제2대-S012|조선민주당,0.2379,within_session
제2대-S012|민주국민당,제2대-S012|대한독립촉성국민회,0.645,within_session
제2대-S012|민주국민당,제2대-S012|대한국민당,0.798,within_session
제2대-S012|민주국민당,제2대-S012|무소속,0.8027,within_session
제2대-S012|민주국민당,제2대-S012|중앙불교위원회,0.2884,within_session
제2대-S012|대한노동총연맹,제2대-S012|자유당,0.0065,within_session
제2대-S012|대한노동총연맹,제2대-S012|대한청년단,0.0046,within_session
제2대-S012|대한노동총연맹,제2대-S012|일민국락부,0.5046,within_session
제2대-S012|대한노동총연맹,제2대-S012|조선민주당,0.9999,within_session
제2대-S012|대한노동총연맹,제2대-S012|대한독립촉성국민회,0.0,within_session
제2대-S012|대한노동총연맹,제2대-S012|대한국민당,0.4701,within_session
제2대-S012|대한노동총연맹,제2대-S012|무소속,0.6203,within_session
제2대-S012|대한노동총연맹,제2대-S012|중앙불교위원회,0.0093,within_session
제2대-S012|자유당,제2대-S012|대한청년단,0.6093,within_session
제2대-S012|자유당,제2대-S012|일민국락부,0.7071,within_session
제2대-S012|자유당,제2대-S012|조선민주당,0.0177,within_session
제2대-S012|자유당,제2대-S012|대한독립촉성국민회,0.3162,within_session
제2대-S012|자유당,제2대-S012|대한국민당,0.6411,within_session
제2대-S012|자유당,제2대-S012|무소속,0.5376,within_session
제2대-S012|자유당,제2대-S012|중앙불교위원회,0.7071,within_session
제2대-S012|대한청년단,제2대-S012|일민국락부,0.5539,within_session
제2대-S012|대한청년단,제2대-S012|조선민주당,0.0123,within_session
제2대-S012|대한청년단,제2대-S012|대한독립촉성국민회,0.8257,within_session
제2대-S012|대한청년단,제2대-S012|대한국민당,0.7968,within_session
제2대-S012|대한청년단,제2대-S012|무소속,0.7635,within_session
제2대-S012|대한청년단,제2대-S012|중앙불교위원회,0.4924,within_session
제2대-S012|일민국락부,제2대-S012|조선민주당,0.5123,within_session
제2대-S012|일민국락부,제2대-S012|대한독립촉성국민회,0.2236,within_session
제2대-S012|일민국락부,제2대-S012|대한국민당,0.8329,within_session
제2대-S012|일민국락부,제2대-S012|무소속,0.8116,within_session
제2대-S012|일민국락부,제2대-S012|중앙불교위원회,0.5,within_session
제2대-S012|조선민주당,제2대-S012|대한독립촉성국민회,0.0,within_session
제2대-S012|조선민주당,제2대-S012|대한국민당,0.4806,within_session
제2대-S012|조선민주당,제2대-S012|무소속,0.6284,within_session
제2대-S012|조선민주당,제2대-S012|중앙불교위원회,0.025,within_session
제2대-S012|대한독립촉성국민회,제2대-S012|대한국민당,0.4432,within_session
제2대-S012|대한독립촉성국민회,제2대-S012|무소속,0.5316,within_session
제2대-S012|대한독립촉성국민회,제2대-S012|중앙불교위원회,0.0,within_session
제2대-S012|대한국민당,제2대-S012|무소속,0.9572,within_session
제2대-S012|대한국민당,제2대-S012|중앙불교위원회,0.6748,within_session
제2대-S012|무소속,제2대-S012|중앙불교위원회,0.525,within_session
제2대-S013|자유당,제2대-S013|조선민주당,0.0,within_session
제2대-S013|자유당,제2대-S013|대한국민당,0.4629,within_session
제2대-S013|자유당,제2대-S013|민주국민당,0.1185,within_session
제2대-S013|자유당,제2대-S013|일민국락부,0.0,within_session
제2대-S013|자유당,제2대-S013|무소속,0.3791,within_session
제2대-S013|자유당,제2대-S013|대한청년단,0.0,within_session
제2대-S013|자유당,제2대-S013|대한독립촉성국민회,0.7746,within_session
제2대-S013|조선민주당,제2대-S013|대한국민당,0.8487,within_session
제2대-S013|조선민주당,제2대-S013|민주국민당,0.0711,within_session
제2대-S013|조선민주당,제2대-S013|일민국락부,0.7071,within_session
제2대-S013|조선민주당,제2대-S013|무소속,0.7582,within_session
제2대-S013|조선민주당,제2대-S013|대한청년단,0.9138,within_session
제2대-S013|조선민주당,제2대-S013|대한독립촉성국민회,0.0,within_session
제2대-S013|대한국민당,제2대-S013|민주국민당,0.1299,within_session
제2대-S013|대한국민당,제2대-S013|일민국락부,0.7638,within_session
제2대-S013|대한국민당,제2대-S013|무소속,0.9067,within_session
제2대-S013|대한국민당,제2대-S013|대한청년단,0.8695,within_session
제2대-S013|대한국민당,제2대-S013|대한독립촉성국민회,0.3984,within_session
제2대-S013|민주국민당,제2대-S013|일민국락부,0.0503,within_session
제2대-S013|민주국민당,제2대-S013|무소속,0.4388,within_session
제2대-S013|민주국민당,제2대-S013|대한청년단,0.065,within_session
제2대-S013|민주국민당,제2대-S013|대한독립촉성국민회,0.6428,within_session
제2대-S013|일민국락부,제2대-S013|무소속,0.6823,within_session
제2대-S013|일민국락부,제2대-S013|대한청년단,0.9333,within_session
제2대-S013|일민국락부,제2대-S013|대한독립촉성국민회,0.0,within_session
제2대-S013|무소속,제2대-S013|대한청년단,0.7768,within_session
제2대-S013|무소속,제2대-S013|대한독립촉성국민회,0.5695,within_session
제2대-S013|대한청년단,제2대-S013|대한독립촉성국민회,0.0,within_session
제2대-S014|대한노동총연맹,제2대-S014|대한청년단,0.9363,within_session
제2대-S014|대한노동총연맹,제2대-S014|민주국민당,0.0,within_session
제2대-S014|대한노동총연맹,제2대-S014|대한국민당,0.072,within_session
제2대-S014|대한노동총연맹,제2대-S014|무소속,0.158,within_session
제2대-S014|대한노동총연맹,제2대-S014|일민국락부,0.0,within_session
제2대-S014|대한청년단,제2대-S014|민주국민당,0.1391,within_session
제2대-S014|대한청년단,제2대-S014|대한국민당,0.2117,within_session
제2대-S014|대한청년단,제2대-S014|무소속,0.4202,within_session
제2대-S014|대한청년단,제2대-S014|일민국락부,0.2341,within_session
제2대-S014|민주국민당,제2대-S014|대한국민당,0.9965,within_session
제2대-S014|민주국민당,제2대-S014|무소속,0.8438,within_session
제2대-S014|민주국민당,제2대-S014|일민국락부,0.0583,within_session
제2대-S014|대한국민당,제2대-S014|무소속,0.8644,within_session
제2대-S014|대한국민당,제2대-S014|일민국락부,0.072,within_session
제2대-S014|무소속,제2대-S014|일민국락부,0.4452,within_session
제2대-S015|중앙불교위원회,제2대-S015|대한독립촉성국민회,0.0548,within_session
제2대-S015|중앙불교위원회,제2대-S015|대한청년단,0.037,within_session
제2대-S015|중앙불교위원회,제2대-S015|대한노동총연맹,0.002,within_session
제2대-S015|중앙불교위원회,제2대-S015|일민국락부,0.0135,within_session
제2대-S015|중앙불교위원회,제2대-S015|조선민주당,0.0241,within_session
제2대-S015|중앙불교위원회,제2대-S015|대한국민당,0.0085,within_session
제2대-S015|중앙불교위원회,제2대-S015|무소속,0.0258,within_session
제2대-S015|중앙불교위원회,제2대-S015|민주국민당,0.0212,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|대한청년단,0.9911,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|대한노동총연맹,0.9865,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|일민국락부,0.9891,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|조선민주당,0.9887,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|대한국민당,0.993,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|무소속,0.9921,within_session
제2대-S015|대한독립촉성국민회,제2대-S015|민주국민당,0.9897,within_session
제2대-S015|대한청년단,제2대-S015|대한노동총연맹,0.9987,within_session
제2대-S015|대한청년단,제2대-S015|일민국락부,0.9994,within_session
제2대-S015|대한청년단,제2대-S015|조선민주당,0.9996,within_session
제2대-S015|대한청년단,제2대-S015|대한국민당,0.9987,within_session
제2대-S015|대한청년단,제2대-S015|무소속,0.9996,within_session
제2대-S015|대한청년단,제2대-S015|민주국민당,0.9996,within_session
제2대-S015|대한노동총연맹,제2대-S015|일민국락부,0.9998,within_session
제2대-S015|대한노동총연맹,제2대-S015|조선민주당,0.9997,within_session
제2대-S015|대한노동총연맹,제2대-S015|대한국민당,0.9974,within_session
제2대-S015|대한노동총연맹,제2대-S015|무소속,0.9985,within_session
제2대-S015|대한노동총연맹,제2대-S015|민주국민당,0.9996,within_session
제2대-S015|일민국락부,제2대-S015|조선민주당,0.9999,within_session
제2대-S015|일민국락부,제2대-S015|대한국민당,0.9984,within_session
제2대-S015|일민국락부,제2대-S015|무소속,0.9993,within_session
제2대-S015|일민국락부,제2대-S015|민주국민당,1.0,within_session
제2대-S015|조선민주당,제2대-S015|대한국민당,0.998,within_session
제2대-S015|조선민주당,제2대-S015|무소속,0.9992,within_session
제2대-S015|조선민주당,제2대-S015|민주국민당,0.9999,within_session
제2대-S015|대한국민당,제2대-S015|무소속,0.9996,within_session
제2대-S015|대한국민당,제2대-S015|민주국민당,0.9985,within_session
제2대-S015|무소속,제2대-S015|민주국민당,0.9995,within_session
제2대-S016|일민국락부,제2대-S016|대한청년단,0.5422,within_session
제2대-S016|일민국락부,제2대-S016|대한노동총연맹,0.0,within_session
제2대-S016|일민국락부,제2대-S016|대한국민당,0.5393,within_session
제2대-S016|일민국락부,제2대-S016|대한독립촉성국민회,0.0,within_session
제2대-S016|일민국락부,제2대-S016|민주국민당,0.0905,within_session
제2대-S016|일민국락부,제2대-S016|조선민주당,0.0722,within_session
제2대-S016|일민국락부,제2대-S016|무소속,0.4536,within_session
제2대-S016|일민국락부,제2대-S016|중앙불교위원회,0.0,within_session
제2대-S016|대한청년단,제2대-S016|대한노동총연맹,0.0,within_session
제2대-S016|대한청년단,제2대-S016|대한국민당,0.9184,within_session
제2대-S016|대한청년단,제2대-S016|대한독립촉성국민회,0.3651,within_session
제2대-S016|대한청년단,제2대-S016|민주국민당,0.3698,within_session
제2대-S016|대한청년단,제2대-S016|조선민주당,0.202,within_session
제2대-S016|대한청년단,제2대-S016|무소속,0.7974,within_session
