Assembly_Num,Session_No,Party,Technology,Income,Labor,Immigration,Migration,Foreigner,Total_Chars,Speech_Count,Distinct_Speakers,Start_Date,Dev,Bnd,Technology_1k,Income_1k,Labor_1k,Immigration_1k,Migration_1k,Foreigner_1k,Id
제2대,7,무소속,0,0,0,0,1,0,14052,41,13,1950-06-19,0,1,0.0,0.0,0.0,0.0,0.07116424708226587,0.0,제2대-S007|무소속
제2대,7,민주국민당,0,0,0,0,1,0,15543,41,4,1950-06-19,0,1,0.0,0.0,0.0,0.0,0.06433764395547835,0.0,제2대-S007|민주국민당
제2대,7,대한국민당,0,0,0,3,0,0,8182,13,7,1950-06-19,0,3,0.0,0.0,0.0,0.36665851869958443,0.0,0.0,제2대-S007|대한국민당
제2대,8,일민국락부,0,8,1,0,1,0,12152,14,2,1950-11-01,9,1,0.0,0.6583278472679394,0.08229098090849242,0.0,0.08229098090849242,0.0,제2대-S008|일민국락부
제2대,8,대한독립촉성국민회,1,0,3,2,2,0,18351,22,5,1950-11-01,4,4,0.054492943163860275,0.0,0.16347882949158082,0.10898588632772055,0.10898588632772055,0.0,제2대-S008|대한독립촉성국민회
제2대,8,무소속,21,86,11,10,13,0,263426,334,60,1950-10-30,118,23,0.07971878250438452,0.32646739501795574,0.04175745750229666,0.037961325002087876,0.04934972250271424,0.0,제2대-S008|무소속
제2대,8,대한국민당,2,14,0,4,3,0,106118,253,13,1950-10-31,16,7,0.018846943968035584,0.13192860777624907,0.0,0.03769388793607117,0.028270415952053374,0.0,제2대-S008|대한국민당
제2대,8,조선민주당,0,0,4,3,1,0,10015,4,1,1950-10-31,4,4,0.0,0.0,0.39940089865202194,0.29955067398901647,0.09985022466300549,0.0,제2대-S008|조선민주당
제2대,8,대한청년단,0,0,0,0,0,0,5131,23,5,1950-11-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S008|대한청년단
제2대,8,민주국민당,1,54,2,3,11,1,151219,272,14,1950-10-30,57,15,0.006612925624425502,0.3570979837189771,0.013225851248851004,0.019838776873276506,0.07274218186868052,0.006612925624425502,제2대-S008|민주국민당
제2대,9,무소속,0,0,0,1,2,0,48018,120,31,1950-12-11,0,3,0.0,0.0,0.0,0.02082552376192261,0.04165104752384522,0.0,제2대-S009|무소속
제2대,9,대한국민당,1,0,0,0,3,0,26593,102,9,1950-12-11,1,3,0.03760388072049036,0.0,0.0,0.0,0.11281164216147106,0.0,제2대-S009|대한국민당
제2대,9,민주국민당,0,0,0,0,0,0,14200,45,5,1950-12-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S009|민주국민당
제2대,9,대한독립촉성국민회,0,0,0,0,0,0,2729,10,5,1950-12-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S009|대한독립촉성국민회
제2대,10,대한청년단,0,0,2,0,1,0,30372,24,6,1950-12-21,2,1,0.0,0.0,0.06585012511523772,0.0,0.03292506255761886,0.0,제2대-S010|대한청년단
제2대,10,애국단체연합회,0,0,0,0,0,0,4149,8,1,1951-02-14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S010|애국단체연합회
제2대,10,조선민주당,4,0,1,0,0,0,25721,24,1,1951-01-15,5,0,0.15551494887446055,0.0,0.038878737218615136,0.0,0.0,0.0,제2대-S010|조선민주당
제2대,10,중앙불교위원회,0,0,0,0,0,0,8597,3,1,1951-03-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S010|중앙불교위원회
제2대,10,대한국민당,26,529,13,17,18,7,716000,1567,19,1950-12-21,568,42,0.036312849162011177,0.7388268156424581,0.018156424581005588,0.023743016759776536,0.025139664804469275,0.009776536312849162,제2대-S010|대한국민당
제2대,10,대한독립촉성국민회,0,1,0,0,0,0,28438,45,4,1950-12-24,1,0,0.0,0.035164216892889795,0.0,0.0,0.0,0.0,제2대-S010|대한독립촉성국민회
제2대,10,일민국락부,0,0,4,4,1,0,48314,24,2,1951-01-29,4,5,0.0,0.0,0.08279173738460902,0.08279173738460902,0.020697934346152254,0.0,제2대-S010|일민국락부
제2대,10,민주국민당,2,25,4,19,11,1,309287,544,15,1950-12-20,31,31,0.006466485820613216,0.08083107275766521,0.012932971641226433,0.06143161529582556,0.03556567201337269,0.003233242910306608,제2대-S010|민주국민당
제2대,10,무소속,96,130,51,50,50,16,1616723,1998,81,1950-12-21,277,116,0.05937937420324941,0.0804095692335669,0.03154529254547625,0.030926757397525734,0.030926757397525734,0.009896562367208235,제2대-S010|무소속
제2대,10,대한부인회,1,0,0,0,3,0,11174,5,1,1951-01-20,1,3,0.08949346697691068,0.0,0.0,0.0,0.26848040093073205,0.0,제2대-S010|대한부인회
제2대,11,대한청년단,3,4,24,0,3,5,93872,76,7,1951-06-08,31,8,0.031958411453894664,0.04261121527185955,0.2556672916311573,0.0,0.031958411453894664,0.05326401908982444,제2대-S011|대한청년단
제2대,11,애국단체연합회,0,0,0,0,0,0,9443,6,1,1951-07-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S011|애국단체연합회
제2대,11,중앙불교위원회,0,0,3,2,1,0,17771,9,1,1951-06-06,3,3,0.0,0.0,0.16881436047493106,0.11254290698328738,0.05627145349164369,0.0,제2대-S011|중앙불교위원회
제2대,11,무소속,155,18,51,40,98,28,1921156,2296,84,1951-06-01,224,166,0.08068059022796692,0.009369358865183254,0.026546516784685885,0.02082079747818501,0.051010953821553275,0.014574558234729508,제2대-S011|무소속
제2대,11,일민국락부,3,0,0,0,6,0,43539,23,2,1951-06-02,3,6,0.06890374147316199,0.0,0.0,0.0,0.13780748294632397,0.0,제2대-S011|일민국락부
제2대,11,민주국민당,2,27,9,7,14,1,386554,1026,14,1951-06-01,38,22,0.005173921366743069,0.06984793845103143,0.023282646150343807,0.018108724783600736,0.03621744956720147,0.0025869606833715344,제2대-S011|민주국민당
제2대,11,대한국민당,34,31,19,14,25,14,775639,2087,18,1951-06-01,84,53,0.04383482522152703,0.03996704652550993,0.02449593174144157,0.018049633914746423,0.03223148913347575,0.018049633914746423,제2대-S011|대한국민당
제2대,11,조선민주당,1,0,2,0,0,3,13238,18,1,1951-06-08,3,3,0.07554011179936546,0.0,0.1510802235987309,0.0,0.0,0.2266203353980964,제2대-S011|조선민주당
