Assembly_Num,Source,Target,Weight
제3대,박영종,조경규,1503
제2대,이재형,조봉암,640
제2대,엄상섭,조봉암,567
제3대,조경규,조영규,491
제3대,이충환,조경규,442
제3대,송방용,이충환,442
제3대,장경근,조경규,415
제3대,서상준,조경규,408
제2대,박만원,조봉암,399
제2대,서상준,조봉암,354
제2대,조봉암,태완선,333
제2대,김용우,윤치영,326
제2대,박정근,조봉암,316
제헌,김동원,백관수,313
제헌,신익희,홍성하,312
제2대,김용우,조봉암,296
제2대,김정실,신익희,286
제헌,김동원,조헌영,273
제3대,이재학,장경근,267
제3대,서상준,이기붕,265
제헌,신익희,조헌영,258
제3대,박영종,이재학,254
제2대,박만원,신익희,253
제2대,이진수,조봉암,253
제2대,백남식,조봉암,248
제3대,김상돈,조경규,248
제2대,엄상섭,윤치영,247
제3대,변진갑,조경규,245
제4대,박흥규,이철승,240
제2대,서상준,신익희,238
제3대,이철승,이충환,236
제3대,조경규,조병문,234
제3대,박영종,황성수,233
제2대,소선규,조봉암,230
제2대,신익희,이재형,229
제3대,박정근,이충환,228
제3대,조경규,조순,227
제2대,박영출,조봉암,227
제3대,이기붕,조영규,227
제4대,박세경,한희석,224
제4대,양일동,이성주,220
제3대,유옥우,조경규,218
제4대,김선태,손석래,217
제2대,김정실,조봉암,217
제헌,서우석,신익희,216
제헌,김광준,윤치영,216
제3대,이철승,조경규,212
제헌,김광준,김동원,212
제헌,김동원,서우석,202
제3대,박영종,이기붕,200
제헌,김동원,이진수,199
제2대,이종형,조봉암,197
제4대,양일동,조순,196
제2대,신익희,엄상섭,195
제3대,류진산,조경규,194
제4대,이재학,이호진,192
제3대,정준,조경규,191
제2대,윤길중,조봉암,188
제2대,이충환,조봉암,188
제2대,박정근,신익희,184
제2대,소선규,윤치영,180
제4대,박흥규,유옥우,180
제3대,인태식,조경규,178
제헌,신익희,이진수,174
제헌,신익희,차윤홍,170
제2대,곽의영,조봉암,166
제3대,송방용,조경규,166
제3대,박만원,황성수,165
제3대,김달호,조경규,161
