Assembly_Num,Id,Party,Speaker_Type,Primary_Role,Speech_Count,Total_Chars,First_Speech_Date,Keyword_Total,Boundary_Per_1k_Chars
제2대,신익희,민주국민당,의원,의장,3712,1525447,1950-06-19,903,0.059
제2대,김용우,무소속,의원,사회보건위원장,410,256316,1950-11-10,701,0.051
제2대,전진한,대한노동총연맹,의원,의원,51,60731,1952-02-14,655,0.033
제2대,조봉암,대한국민당,의원,부의장,6643,1956095,1950-06-19,635,0.04
제2대,이재형,대한국민당,의원,재정경제위원장,572,515223,1950-11-20,476,0.043
제2대,이진수,대한국민당,의원,의원,337,315551,1950-06-20,424,0.133
제2대,윤치영,대한국민당,의원,부의장,2062,431697,1952-02-14,249,0.076
제2대,김익기,무소속,의원,사회보건위원장,93,53791,1950-11-20,235,0.112
제2대,백두진,미상/직책자,정부/기타 직책자,재무부장관,135,368559,1951-03-19,209,0.06
제2대,엄상섭,무소속,의원,법제사법위원장대리,659,657347,1950-11-21,182,0.091
제2대,신광균,일민국락부,의원,의원,60,93301,1950-11-01,168,0.064
제2대,조광섭,조선민주당,의원,의원,133,127952,1950-06-20,166,0.102
제2대,정남국,민주국민당,의원,의원,81,93680,1950-11-25,161,0.075
제2대,임기봉,미상/직책자,정부/기타 직책자,의원,60,85916,1950-06-20,156,0.047
제2대,김지태,무소속,의원,의원,43,64795,1951-04-18,123,0.093
제2대,박희현,미상/직책자,정부/기타 직책자,재무부차관,156,271521,1951-10-06,119,0.088
제2대,장건상,무소속,의원,의원,10,26139,1950-11-21,109,0.153
제2대,박만원,무소속,의원,재정경제위원장,440,458674,1950-11-02,108,0.048
제2대,김수학,무소속,의원,재정경제위원장,79,103686,1950-06-20,105,0.077
제2대,이종형,미상/직책자,정부/기타 직책자,의원,235,324968,1950-11-20,105,0.166
제2대,태완선,무소속,의원,의원,271,199848,1950-11-07,95,0.15
제2대,임용순,대한청년단,의원,의원,46,52458,1951-02-27,95,0.019
제2대,김영선,무소속,의원,의원,38,100447,1950-11-06,95,0.06
제2대,김봉재,무소속,의원,의원,117,166586,1950-11-20,94,0.246
제2대,서상준,미상/직책자,정부/기타 직책자,의사국장,388,386661,1950-12-15,83,0.096
제2대,서범석,무소속,의원,의원,142,150737,1950-11-02,76,0.139
제2대,김유택,미상/직책자,정부/기타 직책자,재무부차관,67,52014,1950-11-10,75,0.211
제2대,박영출,대한국민당,의원,의원,278,192920,1950-06-20,73,0.13
제2대,최원호,민주국민당,의원,의원,18,44794,1951-11-03,70,0.112
제2대,장홍염,민주국민당,의원,의원,86,97266,1950-12-22,68,0.257
제2대,박정근,무소속,의원,농림위원장,371,539579,1950-06-20,68,0.037
제2대,이충환,무소속,의원,예산결산위원장,208,270594,1950-12-11,67,0.055
제2대,소선규,민주국민당,의원,의원,334,363191,1950-11-01,61,0.058
제2대,육홍균,대한국민당,의원,의원,11,12248,1950-11-18,58,0.163
제2대,최창순,미상/직책자,정부/기타 직책자,사회부차관,32,71867,1950-11-18,58,0.167
제2대,곽의영,무소속,의원,의원,226,274236,1950-11-11,56,0.015
제2대,오의관,무소속,의원,의원,180,107234,1950-11-02,54,0.009
제2대,윤길중,무소속,의원,법제사법위원장,217,238172,1950-11-10,54,0.071
제2대,강경옥,무소속,의원,의원,65,109787,1950-11-22,52,0.118
제2대,곽상훈,무소속,의원,의원,112,138232,1950-11-07,50,0.217
제2대,지연해,무소속,의원,의원,103,207667,1950-06-20,48,0.13
제2대,김정실,무소속,의원,법제사법위원장,300,189553,1951-03-23,48,0.09
제2대,조주영,무소속,의원,의원,178,256218,1950-11-01,48,0.098
제2대,최면수,대한국민당,의원,의원,19,14027,1950-11-22,46,0.0
제2대,양병일,민주국민당,의원,재정경제위원장대리,46,66526,1952-03-07,46,0.075
제2대,김훈,미상/직책자,정부/기타 직책자,상공부장관,20,55161,1950-11-06,45,0.127
제2대,김용택,미상/직책자,정부/기타 직책자,사회부차관,19,19506,1952-12-02,45,0.0
제2대,허정,미상/직책자,정부/기타 직책자,국무총리서리,42,116931,1951-01-16,44,0.154
제2대,홍창섭,무소속,의원,의원,112,130739,1950-11-11,42,0.061
제2대,박철웅,무소속,의원,의원,57,114839,1951-01-23,42,0.104
제2대,장택상,무소속,의원,부의장,1610,279043,1950-06-19,41,0.061
제2대,김종순,무소속,의원,의원,148,206271,1950-11-15,41,0.063
제2대,백남식,대한독립촉성국민회,의원,의원,293,148902,1950-06-20,40,0.074
제2대,황병규,대한국민당,의원,의원,134,160277,1950-11-04,39,0.106
제2대,유승준,무소속,의원,의원,116,113652,1950-06-20,38,0.044
제2대,이용설,무소속,의원,의원,65,88349,1950-12-15,34,0.091
제2대,안만복,무소속,의원,의원,49,91708,1950-11-07,33,0.12
제2대,김정식,대한청년단,의원,의원,157,136051,1950-06-20,33,0.081
제2대,안용대,무소속,의원,의원,165,154968,1950-11-22,31,0.084
제2대,안상한,무소속,의원,의원,150,143854,1950-11-21,31,0.063
제2대,김광준,무소속,의원,의원,169,171526,1950-12-13,30,0.099
제2대,서이환,일민국락부,의원,의원,85,157982,1950-06-20,29,0.095
제2대,노기용,무소속,의원,의원,64,72255,1950-11-22,29,0.111
제2대,이종현,무소속,의원,의원,140,147978,1950-06-20,28,0.034
제2대,정일형,무소속,의원,의원,67,70878,1950-06-19,27,0.268
제2대,오위영,무소속,의원,예산결산위원장,63,76232,1950-11-03,27,0.039
제2대,박종만,미상/직책자,정부/기타 직책자,사무총장,23,141032,1950-12-15,26,0.014
제2대,임영신,대한국민당,의원,의원,82,90848,1951-05-14,26,0.143
제2대,한국원,무소속,의원,사회보건위원장대리,116,42735,1951-04-24,25,0.117
제2대,조병문,무소속,의원,의원,58,69709,1950-11-18,24,0.014
제2대,황성수,무소속,의원,의원,101,125163,1950-11-23,24,0.104
제2대,김종회,무소속,의원,의원,99,156936,1950-11-02,23,0.064
제2대,조경규,무소속,의원,내무위원장,137,86776,1950-11-03,22,0.046
제2대,신용욱,무소속,의원,의원,41,35670,1950-11-21,22,0.056
제2대,김일환,미상/직책자,정부/기타 직책자,국방부차관,49,82946,1951-07-11,22,0.048
제2대,원용석,미상/직책자,정부/기타 직책자,기획처장,70,118173,1951-07-18,21,0.034
제2대,장경근,미상/직책자,정부/기타 직책자,국방부차관,50,115494,1950-11-01,21,0.095
제2대,김석관,미상/직책자,정부/기타 직책자,교통부장관,32,66687,1950-11-06,21,0.06
제2대,임문환,미상/직책자,정부/기타 직책자,농림부장관,57,129659,1951-03-30,19,0.015
제2대,우문,대한국민당,의원,의원,46,46893,1950-11-08,19,0.256
제2대,서민호,무소속,의원,의원,152,154890,1950-11-01,18,0.11
제2대,이채오,무소속,의원,상공위원장대리,115,108294,1951-01-17,17,0.083
제2대,정재완,무소속,의원,의원,23,57599,1951-02-01,17,0.035
제2대,권태욱,무소속,의원,의원,29,38104,1951-01-29,17,0.131
제2대,장면,미상/직책자,정부/기타 직책자,국무총리,37,111415,1951-01-30,16,0.036
제2대,윤성순,무소속,의원,의원,40,57581,1951-03-06,16,0.087
제2대,오성환,대한국민당,의원,의원,136,112335,1950-06-20,16,0.116
제2대,신태익,미상/직책자,정부/기타 직책자,법제처장,40,88122,1950-12-13,14,0.023
제2대,조순,대한청년단,의원,의원,17,38680,1950-11-22,14,0.129
제2대,남송학,대한국민당,의원,의원,96,86744,1950-06-20,14,0.081
제2대,황호현,미상/직책자,정부/기타 직책자,내무부차관,24,50292,1952-10-23,14,0.139
제2대,정재설,미상/직책자,정부/기타 직책자,농림부차관,44,72016,1952-12-01,14,0.014
제2대,변진갑,무소속,의원,의원,140,177060,1951-02-24,13,0.04
제2대,권중돈,무소속,의원,의원,68,53340,1950-11-01,13,0.15
제2대,박성하,중앙불교위원회,의원,의원,40,61631,1950-11-03,13,0.146
제2대,변영태,미상/직책자,정부/기타 직책자,외무부장관,65,133481,1951-04-26,13,0.067
제2대,엄병학,대한국민당,의원,의원,51,46507,1950-11-20,13,0.086
