Assembly_Num,Speaker,Party,Speaker_Type,Primary_Role,Role_Groups,Speaker_Source,Speech_Count,Total_Chars,Share_of_Chars,Active_Sessions,First_Speech_Date,Last_Speech_Date,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Keyword_Per_1k_Chars
제2대,신익희,민주국민당,의원,의장,의원; 의장단,member,3712,1525447,0.074,12,1950-06-19,1954-05-01,49,565,199,20,62,8,813,90,903,0.533,0.059,0.592
제2대,김용우,무소속,의원,사회보건위원장,위원장; 의원,member,410,256316,0.01243,10,1950-11-10,1954-02-25,15,8,665,1,10,2,688,13,701,2.684,0.051,2.735
제2대,전진한,대한노동총연맹,의원,의원,의원,member,51,60731,0.00295,5,1952-02-14,1954-03-02,0,0,653,1,1,0,653,2,655,10.752,0.033,10.785
제2대,조봉암,대한국민당,의원,부의장,의원; 의장단,member,6643,1956095,0.09489,12,1950-06-19,1954-04-23,130,285,141,21,29,29,556,79,635,0.284,0.04,0.325
제2대,이재형,대한국민당,의원,재정경제위원장,국무위원; 위원장; 의원,member,572,515223,0.02499,10,1950-11-20,1953-11-27,13,433,8,4,18,0,454,22,476,0.881,0.043,0.924
제2대,이진수,대한국민당,의원,의원,의원,member,337,315551,0.01531,10,1950-06-20,1954-03-23,10,3,369,26,11,5,382,42,424,1.211,0.133,1.344
제2대,윤치영,대한국민당,의원,부의장,의원; 의장단,member,2062,431697,0.02094,7,1952-02-14,1954-03-30,28,18,170,14,11,8,216,33,249,0.5,0.076,0.577
제2대,김익기,무소속,의원,사회보건위원장,위원장; 의원,member,93,53791,0.00261,6,1950-11-20,1953-01-28,3,0,226,1,4,1,229,6,235,4.257,0.112,4.369
제2대,백두진,미상/직책자,정부/기타 직책자,재무부장관,국무위원; 기타,learned,135,368559,0.01788,9,1951-03-19,1954-03-30,38,139,10,8,9,5,187,22,209,0.507,0.06,0.567
제2대,엄상섭,무소속,의원,법제사법위원장대리,위원장; 의원,member,659,657347,0.03189,10,1950-11-21,1954-03-31,26,23,73,26,24,10,122,60,182,0.186,0.091,0.277
제2대,신광균,일민국락부,의원,의원,위원장; 의원,member,60,93301,0.00453,10,1950-11-01,1954-04-22,5,9,148,0,2,4,162,6,168,1.736,0.064,1.801
제2대,조광섭,조선민주당,의원,의원,의원,member,133,127952,0.00621,12,1950-06-20,1954-03-04,7,0,146,5,5,3,153,13,166,1.196,0.102,1.297
제2대,정남국,민주국민당,의원,의원,의원,member,81,93680,0.00454,10,1950-11-25,1954-03-31,6,2,146,6,1,0,154,7,161,1.644,0.075,1.719
제2대,임기봉,미상/직책자,정부/기타 직책자,의원,의원,member,60,85916,0.00417,9,1950-06-20,1954-03-31,20,1,131,2,2,0,152,4,156,1.769,0.047,1.816
제2대,김지태,무소속,의원,의원,의원,member,43,64795,0.00314,7,1951-04-18,1954-03-26,6,30,81,1,5,0,117,6,123,1.806,0.093,1.898
