Year,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Speech_Count,Total_Chars,Distinct_Speakers,Keyword_Per_1k_Chars,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Boundary_Ratio
1948,359,15,511,238,194,133,885,565,1450,13127,5255214,253,0.276,0.168,0.108,0.3897
1949,865,849,563,306,495,158,2277,959,3236,16458,8148380,282,0.397,0.279,0.118,0.2964
1950,378,324,115,204,204,28,817,436,1253,8454,4819075,319,0.26,0.17,0.09,0.348
1951,470,881,246,185,322,91,1597,598,2195,11131,7832940,204,0.28,0.204,0.076,0.2724
1952,229,703,651,264,163,42,1583,469,2052,6365,5274254,206,0.389,0.3,0.089,0.2286
1953,296,121,3517,130,157,49,3934,336,4270,8427,5666462,191,0.754,0.694,0.059,0.0787
1954,410,958,257,304,291,54,1625,649,2274,7740,6666713,289,0.341,0.244,0.097,0.2854
1955,868,330,289,269,285,90,1487,644,2131,13825,9941770,262,0.214,0.15,0.065,0.3022
1956,474,800,336,344,287,107,1610,738,2348,12829,9013129,261,0.261,0.179,0.082,0.3143
1957,963,585,243,631,434,58,1791,1123,2914,12195,10691121,269,0.273,0.168,0.105,0.3854
1958,2059,916,402,563,607,115,3377,1285,4662,29146,15106667,540,0.309,0.224,0.085,0.2756
1959,1844,609,729,484,521,242,3182,1247,4429,20301,12275148,471,0.361,0.259,0.102,0.2816
1960,137,9,3,97,71,10,149,178,327,6668,1754479,220,0.186,0.085,0.101,0.5443
