Assembly_Num,Party,기술,소득,노동,이민,이주,외국인,발언횟수,총어절수,정당_소속의원수,기술_빈도_1만어절당,소득_빈도_1만어절당,노동_빈도_1만어절당,이민_빈도_1만어절당,이주_빈도_1만어절당,외국인_빈도_1만어절당,기술_1인당평균,소득_1인당평균,노동_1인당평균,이민_1인당평균,이주_1인당평균,외국인_1인당평균
제2대,무소속,457,475,1156,10,12,46,8569,2175815,129,2.1,2.18,5.31,0.05,0.06,0.21,3.54,3.68,8.96,0.08,0.09,0.36
제2대,"",338,346,901,21,12,45,5352,1324457,0,2.55,2.61,6.8,0.16,0.09,0.34,0.0,0.0,0.0,0.0,0.0,0.0
제2대,대한국민당,228,719,810,15,0,53,9889,966700,26,2.36,7.44,8.38,0.16,0.0,0.55,8.77,27.65,31.15,0.58,0.0,2.04
제2대,대한노동총연맹,0,0,605,0,0,0,52,16038,2,0.0,0.0,377.23,0.0,0.0,0.0,0.0,0.0,302.5,0.0,0.0,0.0
제3대,자유당,1132,1289,568,25,5,104,26080,4296598,120,2.63,3.0,1.32,0.06,0.01,0.24,9.43,10.74,4.73,0.21,0.04,0.87
제2대,민주국민당,63,580,456,5,0,8,4477,610748,23,1.03,9.5,7.47,0.08,0.0,0.13,2.74,25.22,19.83,0.22,0.0,0.35
제4대,"",1860,567,428,85,16,118,19581,2390867,0,7.78,2.37,1.79,0.36,0.07,0.49,0.0,0.0,0.0,0.0,0.0,0.0
제4대,민주당,722,527,388,42,7,75,11993,2582069,81,2.8,2.04,1.5,0.16,0.03,0.29,8.91,6.51,4.79,0.52,0.09,0.93
제헌,무소속,574,58,317,12,98,44,8921,1311344,90,4.38,0.44,2.42,0.09,0.75,0.34,6.38,0.64,3.52,0.13,1.09,0.49
제헌,한국민주당,239,384,189,11,93,63,11301,1114996,30,2.14,3.44,1.7,0.1,0.83,0.57,7.97,12.8,6.3,0.37,3.1,2.1
제헌,대한노동총연맹,3,0,181,0,2,0,35,15383,1,1.95,0.0,117.66,0.0,1.3,0.0,3.0,0.0,181.0,0.0,2.0,0.0
제3대,무소속,354,345,180,7,4,16,6507,1640861,64,2.16,2.1,1.1,0.04,0.02,0.1,5.53,5.39,2.81,0.11,0.06,0.25
제3대,"",1001,444,165,43,23,91,10586,2000807,0,5.0,2.22,0.82,0.21,0.11,0.45,0.0,0.0,0.0,0.0,0.0,0.0
제2대,일민국락부,11,9,151,1,0,4,139,61197,4,1.8,1.47,24.67,0.16,0.0,0.65,2.75,2.25,37.75,0.25,0.0,1.0
제4대,자유당,847,246,149,39,4,70,19804,1659892,130,5.1,1.48,0.9,0.23,0.02,0.42,6.52,1.89,1.15,0.3,0.03,0.54
제헌,대한독립촉성국민회,247,315,148,4,39,27,8157,725001,56,3.41,4.34,2.04,0.06,0.54,0.37,4.41,5.62,2.64,0.07,0.7,0.48
제2대,조선민주당,7,0,138,0,1,3,133,33637,1,2.08,0.0,41.03,0.0,0.3,0.89,7.0,0.0,138.0,0.0,1.0,3.0
제헌,"",308,197,137,5,26,112,4173,835640,0,3.69,2.36,1.64,0.06,0.31,1.34,0.0,0.0,0.0,0.0,0.0,0.0
제4대,무소속,178,115,124,1,4,15,3879,524730,27,3.39,2.19,2.36,0.02,0.08,0.29,6.59,4.26,4.59,0.04,0.15,0.56
제2대,대한청년단,21,12,97,0,0,5,321,91891,11,2.29,1.31,10.56,0.0,0.0,0.54,1.91,1.09,8.82,0.0,0.0,0.45
제헌,대동청년당,18,7,81,0,4,1,680,84770,14,2.12,0.83,9.56,0.0,0.47,0.12,1.29,0.5,5.79,0.0,0.29,0.07
제3대,민주국민당,168,161,75,9,1,10,2062,896400,15,1.87,1.8,0.84,0.1,0.01,0.11,11.2,10.73,5.0,0.6,0.07,0.67
제헌,조선민족청년단,77,0,49,0,1,2,380,66590,6,11.56,0.0,7.36,0.0,0.15,0.3,12.83,0.0,8.17,0.0,0.17,0.33
제2대,대한독립촉성국민회,3,12,25,0,0,1,397,60312,12,0.5,1.99,4.15,0.0,0.0,0.17,0.25,1.0,2.08,0.0,0.0,0.08
제3대,국민당,27,6,24,4,0,1,246,121934,3,2.21,0.49,1.97,0.33,0.0,0.08,9.0,2.0,8.0,1.33,0.0,0.33
제헌,대한여자국민당,20,0,10,0,2,2,101,18648,1,10.73,0.0,5.36,0.0,1.07,1.07,20.0,0.0,10.0,0.0,2.0,2.0
제2대,대한부인회,1,0,6,0,0,0,22,7474,1,1.34,0.0,8.03,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0
제2대,중앙불교위원회,0,0,3,0,0,0,40,16304,1,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
제헌,조선공화당,4,1,1,0,13,11,2114,104744,1,0.38,0.1,0.1,0.0,1.24,1.05,4.0,1.0,1.0,0.0,13.0,11.0
제헌,단민당,0,1,1,0,3,0,97,15735,1,0.0,0.64,0.64,0.0,1.91,0.0,0.0,1.0,1.0,0.0,3.0,0.0
제헌,교육협회,1,0,1,0,4,1,101,16582,1,0.6,0.0,0.6,0.0,2.41,0.6,1.0,0.0,1.0,0.0,4.0,1.0
제헌,조선민주당,0,0,0,0,0,0,30,8928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제헌,민주국민당,2,0,0,0,0,0,11,6615,1,3.02,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
제3대,호헌동지회,0,0,0,0,0,0,5,2958,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제3대,제헌국회호헌동지회,0,0,0,0,0,1,9,4841,1,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,1.0
제헌,한국독립당,0,0,0,0,0,0,63,4996,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제헌,부산15구락부,0,0,0,0,0,0,14,407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제3대,국민회,7,0,0,0,0,0,20,4778,3,14.65,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0
제2대,자유당,0,0,0,1,0,0,47,19246,3,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
제2대,애국단체연합회,1,0,0,0,0,0,17,4200,1,2.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
제4대,동명이인(확인필요): 민주당 / 자유당,9,0,0,0,0,0,12,1985,0,45.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제헌,전도회,0,0,0,0,2,0,122,8610,1,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,2.0,0.0
제4대,통일당,0,0,0,1,0,0,43,8213,1,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
제헌,민족통일본부,4,0,0,0,0,0,79,17251,1,2.32,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
제3대,민주당,0,0,0,0,0,0,5,3961,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
