Assembly_Num,Speaker,직책,Party,지역,소속위원회,당선횟수,기술,소득,노동,이민,이주,외국인,발언횟수,총어절수,기술_회기수,소득_회기수,노동_회기수,이민_회기수,이주_회기수,외국인_회기수,기술_빈도_1만어절당,소득_빈도_1만어절당,노동_빈도_1만어절당,이민_빈도_1만어절당,이주_빈도_1만어절당,외국인_빈도_1만어절당
제2대,전진한,의원,대한노동총연맹,경남 부산무,"",5선,0,0,605,0,0,0,51,15697,0,0,15,0,0,0,0.0,0.0,385.42,0.0,0.0,0.0
제2대,"",사회보건위원장,"","","","",0,0,397,0,0,0,141,14871,58,37,45,2,4,13,0.0,0.0,266.96,0.0,0.0,0.0
제2대,이진수,의원,대한국민당,경기 양주을,"",재선,10,3,354,0,0,4,336,81526,4,1,22,0,0,3,1.23,0.37,43.42,0.0,0.0,0.49
제2대,김익기,사회보건위원장,무소속,경북 안동을,"",5선,0,0,208,0,0,0,73,9725,2,0,5,0,0,1,0.0,0.0,213.88,0.0,0.0,0.0
제2대,신익희,의장,민주국민당,전남 광주,"",3선,44,533,179,3,0,4,3606,333612,10,11,14,2,0,4,1.32,15.98,5.37,0.09,0.0,0.12
제2대,윤치영,부의장,대한국민당,충남 공주을,"",4선,25,18,165,0,0,5,2022,76761,7,4,9,1,0,3,3.26,2.34,21.5,0.0,0.0,0.65
제헌,전진한,의원,대한노동총연맹,경북 상주을,"",5선,0,0,157,0,0,0,33,11076,1,0,8,0,1,0,0.0,0.0,141.75,0.0,0.0,0.0
제2대,김용우,사회보건위원장,무소속,서울 서대문구갑,"",초선,12,0,150,0,0,0,239,31165,9,2,20,0,0,1,3.85,0.0,48.13,0.0,0.0,0.0
제2대,정남국,의원,민주국민당,전남 완도,"",초선,6,2,145,0,0,0,81,24543,4,1,12,0,0,0,2.44,0.81,59.08,0.0,0.0,0.0
제2대,신광균,의원,일민국락부,경기 개풍,"",재선,4,9,144,0,0,4,59,22527,4,2,9,0,0,1,1.78,4.0,63.92,0.0,0.0,1.78
제2대,조광섭,의원,조선민주당,서울 영등포구갑,"",초선,7,0,138,0,1,3,132,33616,4,0,19,0,1,1,2.08,0.0,41.05,0.0,0.3,0.89
