SpeakerKey,Community,CommunityName,CommunitySize,SpeechCount,Strength
이철승위원,1,커뮤니티 1,1984,1618,3051.0
박병배위원,1,커뮤니티 1,1984,646,1254.0
강영훈위원,1,커뮤니티 1,1984,597,1181.0
이필호위원,1,커뮤니티 1,1984,475,936.0
이정휴위원,1,커뮤니티 1,1984,400,755.0
권중돈위원,1,커뮤니티 1,1984,310,617.0
유용식위원,1,커뮤니티 1,1984,302,603.0
최병권위원,1,커뮤니티 1,1984,244,486.0
위원장하태환,1,커뮤니티 1,1984,265,481.0
손도심위원,1,커뮤니티 1,1984,238,470.0
이원장위원,1,커뮤니티 1,1984,215,421.0
위원장유용식,1,커뮤니티 1,1984,231,407.0
우희창위원,1,커뮤니티 1,1984,201,394.0
유성권위원,1,커뮤니티 1,1984,197,387.0
피고강정규,1,커뮤니티 1,1984,189,378.0
국방부장관김정렬,1,커뮤니티 1,1984,169,337.0
유영준위원,1,커뮤니티 1,1984,164,326.0
조일재위원,1,커뮤니티 1,1984,163,326.0
박덕영위원,1,커뮤니티 1,1984,158,316.0
한광석위원,1,커뮤니티 1,1984,155,310.0
신영주위원,1,커뮤니티 1,1984,152,304.0
안균섭위원,1,커뮤니티 1,1984,140,280.0
李敏雨위원,1,커뮤니티 1,1984,136,272.0
류지원위원,1,커뮤니티 1,1984,136,264.0
대구인단비누공장지배인이동필,1,커뮤니티 1,1984,117,234.0
증인류경호,1,커뮤니티 1,1984,116,232.0
증인최경남,1,커뮤니티 1,1984,113,226.0
박충모위원,1,커뮤니티 1,1984,98,193.0
김훈위원,1,커뮤니티 1,1984,96,192.0
반장신영주,1,커뮤니티 1,1984,93,185.0
국방부차관최세황,1,커뮤니티 1,1984,91,182.0
피고조신환,1,커뮤니티 1,1984,85,170.0
위원장류지원,1,커뮤니티 1,1984,85,154.0
김상돈위원,1,커뮤니티 1,1984,73,146.0
육군참모총장송요찬,1,커뮤니티 1,1984,71,142.0
헌병사령관원용덕,1,커뮤니티 1,1984,66,132.0
홍범희위원,1,커뮤니티 1,1984,64,128.0
증인김동수,1,커뮤니티 1,1984,61,122.0
위원장이정휴,1,커뮤니티 1,1984,59,116.0
