KeywordA,KeywordB,Weight
경제,재정,10051
예산,재정,5793
경제,예산,5634
세입,예산,3928
경제,부흥,3453
부흥,예산,2999
경제,산업,2861
시설,예산,2323
경제,생산,2241
부흥,산업,2233
산업,예산,2124
산업,재정,2072
생산,예산,1831
부흥,재정,1787
세입,재정,1633
산업,생산,1630
경제,시설,1561
경제,세입,1548
물자,예산,1540
생산,재정,1500
경제,물가,1458
경제,물자,1429
건설,예산,1357
물가,예산,1336
시설,재정,1217
물가,재정,1171
생산,시설,1165
건설,경제,1159
산업,시설,1135
부흥,시설,1079
부흥,생산,1060
물자,재정,1009
물가,생산,997
봉급,예산,968
물자,생산,968
경제,공업,902
공업,산업,888
건설,산업,863
공업,생산,842
건설,재정,828
부흥,세입,802
물자,부흥,797
물자,산업,797
건설,부흥,780
공업,예산,780
물자,시설,778
개발,경제,750
건설,시설,750
개발,예산,737
개발,산업,666
기계,예산,660
물가,산업,658
건설,생산,656
산업,세입,631
공업,재정,616
공업,부흥,615
물가,부흥,613
공업,시설,612
물가,물자,607
개발,부흥,575
기계,시설,559
봉급,재정,535
세입,시설,535
경제,재건,533
예산,전력,518
경제,기계,516
개발,생산,508
개발,재정,484
개발,시설,478
생산,세입,477
물가,시설,475
건설,물자,468
경제,봉급,466
물자,세입,464
물가,세입,461
경제,전력,459
기계,생산,417
건설,공업,394
기계,산업,387
부흥,재건,372
기계,재정,363
공업,물자,361
예산,재건,355
재정,전력,352
산업,재건,345
실업,예산,341
산업,전력,337
경제,노동자,336
경제,실업,331
양인,예산,330
기계,부흥,329
재건,재정,322
예산,이동,320
시설,전력,319
공업,물가,316
생산,전력,314
미군,예산,306
건설,세입,301
개발,건설,299
건설,물가,290
경제,동포,280
개발,공업,276
공업,기계,276
기계,물자,276
예산,임금,269
동포,예산,268
실업,재정,251
경제,근로,251
봉급,세입,250
건설,기계,249
부흥,전력,243
경제,미군,243
경제,임금,237
산업,실업,232
생산,재건,231
개발,물자,228
봉급,시설,223
봉급,부흥,222
건설,재건,220
이동,재정,213
경제,이동,213
시설,재건,212
물가,봉급,212
노동자,예산,211
물자,미군,211
공업,세입,209
물자,전력,208
생산,실업,205
노동자,생산,202
시설,실업,199
노동자,산업,199
경제,양인,195
근로,노동자,192
물자,봉급,192
물자,재건,188
봉급,생산,185
부흥,실업,181
건설,전력,180
동포,재정,180
미군,시설,179
봉급,산업,177
노동자,재정,174
근로,임금,173
개발,세입,171
물가,전력,170
근로,예산,169
미군,재정,168
개발,전력,168
임금,재정,166
공업,전력,165
근로,재정,160
개발,물가,159
노동자,임금,157
개발,기계,154
근로,생산,154
양인,재정,153
기계,물가,151
공업,실업,148
생산,임금,145
시설,양인,135
건설,봉급,135
공업,재건,133
시설,이동,131
건설,실업,130
근로,산업,130
동포,산업,130
기계,세입,129
건설,동포,128
미군,생산,125
물가,임금,121
물가,재건,119
산업,임금,118
노동자,시설,114
동포,생산,114
기계,전력,112
동포,물자,111
노동자,물자,111
물자,실업,109
노동자,부흥,109
세입,전력,108
물가,실업,107
산업,양인,106
미군,산업,106
건설,노동자,103
동포,부흥,100
세입,재건,100
부흥,양인,98
산업,이동,98
근로,시설,97
개발,재건,95
생산,양인,93
재건,전력,93
동포,시설,93
미군,부흥,90
생산,이동,89
시설,임금,88
봉급,임금,88
부흥,임금,88
동포,재건,85
세입,실업,85
부흥,이동,84
노동자,물가,84
공업,봉급,83
건설,미군,83
물자,이동,82
물자,임금,81
개발,실업,80
공업,노동자,79
건설,양인,78
건설,근로,76
근로,물가,75
물자,양인,75
건설,임금,75
건설,이동,71
물가,미군,71
기계,실업,71
기계,봉급,69
노동자,실업,68
미군,봉급,65
근로,물자,65
봉급,전력,64
근로,부흥,63
동포,전력,61
근로,실업,61
기계,재건,60
세입,임금,59
노동자,세입,59
세입,양인,59
물가,양인,58
세입,이동,58
실업,전력,57
미군,세입,56
공업,미군,55
기계,미군,54
공업,양인,53
개발,봉급,53
근로,세입,53
물가,이동,52
동포,미군,51
미군,전력,51
실업,재건,51
공업,동포,51
기계,노동자,51
공업,임금,51
기계,양인,49
동포,물가,48
봉급,실업,46
기계,이동,45
봉급,이동,44
동포,실업,44
근로,봉급,43
공업,근로,43
미군,이동,42
봉급,재건,42
노동자,봉급,41
봉급,양인,40
이동,전력,40
개발,양인,39
공업,이동,39
동포,세입,38
노동자,재건,38
개발,노동자,37
근로,전력,37
노동자,동포,36
노동자,전력,36
개발,이동,36
임금,전력,36
미군,재건,35
기계,동포,33
노동자,미군,33
실업,임금,33
기계,임금,32
미군,양인,32
이동,재건,31
동포,이동,29
미군,임금,29
개발,근로,28
동포,임금,27
실업,양인,27
양인,전력,26
노동자,양인,26
개발,미군,26
근로,재건,26
임금,재건,24
노동자,이동,23
동포,양인,22
동포,봉급,22
개발,동포,22
근로,미군,22
근로,이동,22
양인,이동,20
개발,임금,19
미군,실업,19
근로,동포,18
양인,임금,18
근로,기계,16
실업,이동,14
근로,양인,13
양인,재건,13
이동,임금,11
