Source,Target,Relation,SourceType,TargetType
speaker::의장신익희,정당::대한독립촉성국민회,정당,의원,정당
speaker::의장신익희,지역::전남 광주,지역,의원,지역
speaker::의장신익희,성별::남,성별,의원,성별
speaker::의장신익희,당선횟수::3선,당선횟수,의원,당선횟수
speaker::의장신익희,당선방법::지역구,당선방법,의원,당선방법
speaker::의장신익희,speech::1948-08-16||제1대국회 제1회(임시회) 제41차 국회본회의(전체회의)||169,발언자,의원,발언
speaker::의장신익희,speech::1948-08-16||제1대국회 제1회(임시회) 제41차 국회본회의(전체회의)||174,발언자,의원,발언
speaker::의장신익희,speech::1948-08-23||제1대국회 제1회(임시회) 제47차 국회본회의(전체회의)||110,발언자,의원,발언
speaker::의장신익희,speech::1948-08-26||제1대국회 제1회(임시회) 제49차 국회본회의(전체회의)||195,발언자,의원,발언
speaker::의장신익희,speech::1948-08-28||제1대국회 제1회(임시회) 제51차 국회본회의(전체회의)||98,발언자,의원,발언
speaker::의장신익희,speech::1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||30,발언자,의원,발언
speaker::의장신익희,speech::1948-08-31||제1대국회 제1회(임시회) 제53차 국회본회의(전체회의)||40,발언자,의원,발언
speaker::의장신익희,speech::1948-09-04||제1대국회 제1회(임시회) 제57차 국회본회의(전체회의)||31,발언자,의원,발언
speaker::의장신익희,speech::1948-09-13||제1대국회 제1회(임시회) 제64차 국회본회의(전체회의)||309,발언자,의원,발언
speaker::의장신익희,speech::1948-09-14||제1대국회 제1회(임시회) 제65차 국회본회의(전체회의)||24,발언자,의원,발언
speaker::의장신익희,speech::1948-09-20||제1대국회 제1회(임시회) 제70차 국회본회의(전체회의)||22,발언자,의원,발언
speaker::의장신익희,speech::1948-09-20||제1대국회 제1회(임시회) 제70차 국회본회의(전체회의)||26,발언자,의원,발언
speaker::의장신익희,speech::1948-09-22||제1대국회 제1회(임시회) 제72차 국회본회의(전체회의)||109,발언자,의원,발언
speaker::의장신익희,speech::1948-09-23||제1대국회 제1회(임시회) 제73차 국회본회의(전체회의)||44,발언자,의원,발언
