SpeakerA,SpeakerB,Weight,Examples
박영종의원,부의장조경규,1253,"[{""MeetingID"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)"", ""Date"": ""1955-03-04"", ""SeqA"": 194, ""SeqB"": 197, ""SpeechA"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||194"", ""SpeechB"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||197""}, {""MeetingID"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)"", ""Date"": ""1955-03-04"", ""SeqA"": 197, ""SeqB"": 202, ""SpeechA"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||197"", ""SpeechB"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||202""}, {""MeetingID"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)"", ""Date"": ""1955-03-08"", ""SeqA"": 62, ""SeqB"": 66, ""SpeechA"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||62"", ""SpeechB"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||66""}]"
부의장조봉암,재정경제위원장이재형,530,"[{""MeetingID"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)"", ""Date"": ""1951-03-19"", ""SeqA"": 30, ""SeqB"": 32, ""SpeechA"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||30"", ""SpeechB"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||32""}, {""MeetingID"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)"", ""Date"": ""1951-03-19"", ""SeqA"": 35, ""SeqB"": 45, ""SpeechA"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||35"", ""SpeechB"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||45""}, {""MeetingID"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)"", ""Date"": ""1951-03-19"", ""SeqA"": 45, ""SeqB"": 46, ""SpeechA"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||45"", ""SpeechB"": ""1951-03-19||제2대국회 제10회(정기회) 제45차 국회본회의(전체회의)||46""}]"
부의장조경규,조영규의원,433,"[{""MeetingID"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)"", ""Date"": ""1955-03-08"", ""SeqA"": 60, ""SeqB"": 61, ""SpeechA"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||60"", ""SpeechB"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||61""}, {""MeetingID"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)"", ""Date"": ""1955-03-08"", ""SeqA"": 61, ""SeqB"": 62, ""SpeechA"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||61"", ""SpeechB"": ""1955-03-08||제3대국회 제20회(정기회) 제8차 국회본회의(전체회의)||62""}, {""MeetingID"": ""1955-03-10||제3대국회 제20회(정기회) 제10차 국회본회의(전체회의)"", ""Date"": ""1955-03-10"", ""SeqA"": 201, ""SeqB"": 205, ""SpeechA"": ""1955-03-10||제3대국회 제20회(정기회) 제10차 국회본회의(전체회의)||201"", ""SpeechB"": ""1955-03-10||제3대국회 제20회(정기회) 제10차 국회본회의(전체회의)||205""}]"
부의장조경규,의사국장서상준,388,"[{""MeetingID"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)"", ""Date"": ""1955-03-04"", ""SeqA"": 27, ""SeqB"": 28, ""SpeechA"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||27"", ""SpeechB"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||28""}, {""MeetingID"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)"", ""Date"": ""1955-03-04"", ""SeqA"": 28, ""SeqB"": 162, ""SpeechA"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||28"", ""SpeechB"": ""1955-03-04||제3대국회 제20회(정기회) 제5차 국회본회의(전체회의)||162""}, {""MeetingID"": ""1955-03-05||제3대국회 제20회(정기회) 제6차 국회본회의(전체회의)"", ""Date"": ""1955-03-05"", ""SeqA"": 23, ""SeqB"": 29, ""SpeechA"": ""1955-03-05||제3대국회 제20회(정기회) 제6차 국회본회의(전체회의)||23"", ""SpeechB"": ""1955-03-05||제3대국회 제20회(정기회) 제6차 국회본회의(전체회의)||29""}]"
법제사법위원장대리장경근,부의장조경규,364,"[{""MeetingID"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)"", ""Date"": ""1957-11-05"", ""SeqA"": 42, ""SeqB"": 229, ""SpeechA"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)||42"", ""SpeechB"": ""1957-11-05||제3대국회 제26회(정기회) 제29차 국회본회의(전체회의)||229""}, {""MeetingID"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)"", ""Date"": ""1957-11-06"", ""SeqA"": 214, ""SeqB"": 215, ""SpeechA"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)||214"", ""SpeechB"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)||215""}, {""MeetingID"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)"", ""Date"": ""1957-11-06"", ""SeqA"": 215, ""SeqB"": 216, ""SpeechA"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)||215"", ""SpeechB"": ""1957-11-06||제3대국회 제26회(정기회) 제30차 국회본회의(전체회의)||216""}]"
송방용위원,위원장이충환,340,"[{""MeetingID"": ""1954-09-25||제3대국회 제19회(임시회) 제10차 예산결산위원회(전체회의)"", ""Date"": ""1954-09-25"", ""SeqA"": 38, ""SeqB"": 43, ""SpeechA"": ""1954-09-25||제3대국회 제19회(임시회) 제10차 예산결산위원회(전체회의)||38"", ""SpeechB"": ""1954-09-25||제3대국회 제19회(임시회) 제10차 예산결산위원회(전체회의)||43""}, {""MeetingID"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)"", ""Date"": ""1954-09-28"", ""SeqA"": 20, ""SeqB"": 21, ""SpeechA"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)||20"", ""SpeechB"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)||21""}, {""MeetingID"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)"", ""Date"": ""1954-09-28"", ""SeqA"": 54, ""SeqB"": 55, ""SpeechA"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)||54"", ""SpeechB"": ""1954-09-28||제3대국회 제19회(임시회) 제11차 예산결산위원회(전체회의)||55""}]"
부의장조봉암,의사국장서상준,298,"[{""MeetingID"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)"", ""Date"": ""1951-02-23"", ""SeqA"": 19, ""SeqB"": 23, ""SpeechA"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)||19"", ""SpeechB"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)||23""}, {""MeetingID"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)"", ""Date"": ""1951-02-23"", ""SeqA"": 23, ""SeqB"": 24, ""SpeechA"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)||23"", ""SpeechB"": ""1951-02-23||제2대국회 제10회(정기회) 제32차 국회본회의(전체회의)||24""}, {""MeetingID"": ""1951-02-28||제2대국회 제10회(정기회) 제36차 국회본회의(전체회의)"", ""Date"": ""1951-02-28"", ""SeqA"": 17, ""SeqB"": 21, ""SpeechA"": ""1951-02-28||제2대국회 제10회(정기회) 제36차 국회본회의(전체회의)||17"", ""SpeechB"": ""1951-02-28||제2대국회 제10회(정기회) 제36차 국회본회의(전체회의)||21""}]"
부의장조경규,예산결산위원장이충환,279,"[{""MeetingID"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)"", ""Date"": ""1955-05-12"", ""SeqA"": 173, ""SeqB"": 179, ""SpeechA"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)||173"", ""SpeechB"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)||179""}, {""MeetingID"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)"", ""Date"": ""1955-05-12"", ""SeqA"": 179, ""SeqB"": 180, ""SpeechA"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)||179"", ""SpeechB"": ""1955-05-12||제3대국회 제20회(정기회) 제42차 국회본회의(전체회의)||180""}, {""MeetingID"": ""1955-05-23||제3대국회 제20회(정기회) 제50차 국회본회의(전체회의)"", ""Date"": ""1955-05-23"", ""SeqA"": 47, ""SeqB"": 48, ""SpeechA"": ""1955-05-23||제3대국회 제20회(정기회) 제50차 국회본회의(전체회의)||47"", ""SpeechB"": ""1955-05-23||제3대국회 제20회(정기회) 제50차 국회본회의(전체회의)||48""}]"
부의장조봉암,재정경제위원장박만원,272,"[{""MeetingID"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)"", ""Date"": ""1953-02-20"", ""SeqA"": 166, ""SeqB"": 167, ""SpeechA"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||166"", ""SpeechB"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||167""}, {""MeetingID"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)"", ""Date"": ""1953-02-20"", ""SeqA"": 167, ""SeqB"": 168, ""SpeechA"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||167"", ""SpeechB"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||168""}, {""MeetingID"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)"", ""Date"": ""1953-02-20"", ""SeqA"": 192, ""SeqB"": 193, ""SpeechA"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||192"", ""SpeechB"": ""1953-02-20||제2대국회 제15회(정기회) 제27차 국회본회의(전체회의)||193""}]"
부의장윤치영,사회보건위원장김용우,271,"[{""MeetingID"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)"", ""Date"": ""1953-01-31"", ""SeqA"": 30, ""SeqB"": 33, ""SpeechA"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||30"", ""SpeechB"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||33""}, {""MeetingID"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)"", ""Date"": ""1953-01-31"", ""SeqA"": 33, ""SeqB"": 35, ""SpeechA"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||33"", ""SpeechB"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||35""}, {""MeetingID"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)"", ""Date"": ""1953-01-31"", ""SeqA"": 72, ""SeqB"": 79, ""SpeechA"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||72"", ""SpeechB"": ""1953-01-31||제2대국회 제15회(정기회) 제19차 국회본회의(전체회의)||79""}]"
