당선횟수,발전,경계,발전+경계,미분류,전체,관련발언,관련비중,발전비중,경계비중
8선,43,11,13,97,164,67,40.853658536585364,26.21951219512195,6.707317073170732
7선,1133,16,70,1818,3037,1219,40.13829436944353,37.30655251893316,0.5268356931182088
6선,1745,30,81,2975,4831,1856,38.418546884702955,36.120885944938934,0.6209894431794659
9선,13,0,1,49,63,14,22.22222222222222,20.634920634920633,0.0
초선,6476,465,609,27196,34746,7550,21.729119898693376,18.63811661774017,1.3382835434294593
재선,7341,451,615,30838,39245,8407,21.421837176710408,18.7055675882278,1.1491909797426423
4선,2754,189,270,13389,16602,3213,19.353089989157933,16.588362847849655,1.1384170581857609
5선,1478,99,118,7612,9307,1695,18.212098420543676,15.880520038680562,1.0637154829698077
3선,4306,244,305,23180,28035,4855,17.31763866595327,15.359372213304798,0.8703406456215445
미상,36884,2134,1332,503516,543866,40350,7.419106912364443,6.781817580065678,0.39237606322145524
