Month,전체,발전,경계,발전+경계,미분류,Date,발전_전체대비비중,경계_전체대비비중,발전+경계_전체대비비중
1948-05,269,0.0,1.0,0.0,268,1948-05-01,0.0,0.37174721189591076,0.0
1948-06,3584,170.0,64.0,27.0,3323,1948-06-01,4.743303571428571,1.7857142857142856,0.7533482142857143
1948-07,4810,268.0,47.0,30.0,4465,1948-07-01,5.5717255717255725,0.9771309771309772,0.6237006237006237
1948-08,4052,101.0,58.0,15.0,3878,1948-08-01,2.4925962487660414,1.4313919052319843,0.37018756169792694
1948-09,6568,345.0,105.0,68.0,6050,1948-09-01,5.2527405602923265,1.5986601705237513,1.0353227771010962
1948-10,2978,186.0,41.0,28.0,2723,1948-10-01,6.245802552048355,1.3767629281396911,0.9402283411685695
1948-11,4258,134.0,58.0,25.0,4041,1948-11-01,3.147017379051198,1.3621418506341005,0.5871301080319399
1948-12,3678,153.0,33.0,18.0,3474,1948-12-01,4.159869494290375,0.897226753670473,0.48939641109298526
1949-01,3208,185.0,28.0,21.0,2974,1949-01-01,5.766832917705736,0.8728179551122194,0.6546134663341646
1949-02,5692,254.0,27.0,18.0,5393,1949-02-01,4.462403373155306,0.4743499648629656,0.31623330990864373
1949-03,5961,823.0,23.0,37.0,5078,1949-03-01,13.806408320751551,0.38584130179500087,0.6207012246267405
1949-04,7373,923.0,28.0,38.0,6384,1949-04-01,12.51864912518649,0.37976400379764,0.5153940051539401
1949-05,4393,131.0,17.0,10.0,4235,1949-05-01,2.982016844980651,0.38697928522649666,0.22763487366264512
1949-06,4576,146.0,33.0,8.0,4389,1949-06-01,3.190559440559441,0.7211538461538461,0.17482517482517482
1949-07,6577,366.0,25.0,20.0,6166,1949-07-01,5.564847194769651,0.38011251330393797,0.3040900106431504
1949-08,983,17.0,6.0,1.0,959,1949-08-01,1.7293997965412005,0.6103763987792472,0.10172939979654119
1949-09,2896,266.0,9.0,10.0,2611,1949-09-01,9.185082872928177,0.31077348066298344,0.3453038674033149
1949-10,4575,245.0,48.0,20.0,4262,1949-10-01,5.355191256830602,1.0491803278688525,0.4371584699453552
1949-11,18114,926.0,42.0,37.0,17109,1949-11-01,5.112068013691068,0.23186485591255385,0.20426189687534502
1949-12,5285,300.0,10.0,10.0,4965,1949-12-01,5.676442762535478,0.1892147587511826,0.1892147587511826
1950-01,4926,501.0,38.0,19.0,4368,1950-01-01,10.170523751522534,0.7714169711733658,0.3857084855866829
