정당,발전,경계,발전+경계,미분류,전체,관련발언,관련비중
대한노동총연맹,54,2,4,27,87,60,68.96551724137932
제헌국회호헌동지회,2,1,1,5,9,4,44.44444444444444
일민국락부,53,3,8,83,147,64,43.53741496598639
대한청년단,110,4,17,195,326,131,40.1840490797546
호헌동지회,2,0,0,3,5,2,40.0
중앙불교위원회,14,0,1,24,39,15,38.46153846153847
국민당,84,4,5,154,247,93,37.65182186234818
조선민주당,47,5,10,105,167,62,37.12574850299401
통일당,11,4,0,27,42,15,35.714285714285715
국민회,7,0,0,13,20,7,35.0
조선민족청년단,146,6,5,298,455,157,34.505494505494504
대한부인회,6,1,0,15,22,7,31.818181818181817
대한여자국민당,20,5,6,70,101,31,30.693069306930692
애국단체연합회,3,1,1,12,17,5,29.411764705882355
무소속,7309,538,748,22615,31210,8595,27.539250240307595
민주당,2679,117,318,9278,12392,3114,25.129115558424793
자유당,9864,385,585,38526,49360,10834,21.948946515397083
민주국민당,1166,80,134,5326,6706,1380,20.578586340590515
교육협회,14,3,1,84,102,18,17.647058823529413
대동청년당,91,14,10,566,681,115,16.886930983847286
민족통일본부,4,6,2,67,79,12,15.18987341772152
전도회,16,1,0,103,120,17,14.166666666666666
대한독립촉성국민회,928,122,69,7588,8707,1119,12.851728494314917
대한국민당,1206,75,81,9456,10818,1362,12.590127565169162
한국민주당,1252,106,68,9923,11349,1426,12.564983699004317
한국독립당,5,2,0,56,63,7,11.11111111111111
단민당,9,0,0,89,98,9,9.183673469387756
미상,37011,2147,1339,504171,544668,40497,7.435171517327987
부산15구락부,1,0,0,13,14,1,7.142857142857142
조선공화당,59,8,1,2046,2114,68,3.216650898770104
