정당,전체발언,관련발언,관련비중,기술,소득,노동,이민,이주,외국인
자유당,49360,10834,21.948946515397083,4326,8680,362,224,309,494
무소속,31186,8595,27.560443788879624,3319,6481,807,405,425,562
민주당,12392,3114,25.129115558424793,1391,2476,226,115,130,235
한국민주당,11334,1426,12.581612846303159,578,1023,104,55,39,84
대한국민당,10818,1362,12.590127565169162,340,1085,157,45,73,50
대한독립촉성국민회,8649,1119,12.93791189732917,399,757,59,103,44,54
민주국민당,6706,1380,20.578586340590515,495,1093,142,73,66,99
조선공화당,2113,68,3.218173213440606,16,47,0,2,1,6
대동청년당,677,115,16.986706056129986,53,70,10,12,5,9
조선민족청년단,455,157,34.505494505494504,90,94,9,2,3,6
대한청년단,326,131,40.1840490797546,49,106,21,4,15,7
국민당,247,93,37.65182186234818,45,71,5,1,2,6
