지역,발전,경계,발전+경계,미분류,전체,관련발언,관련비중
경남 부산시갑,5,0,0,0,5,5,100.0
충남 연기군,1,1,0,0,2,2,100.0
경북 월성군갑,1,0,0,0,1,1,100.0
전북 정읍군을,1,0,0,0,1,1,100.0
경남 밀양군갑,4,0,2,1,7,6,85.71428571428571
경남 창원군을,5,0,0,1,6,5,83.33333333333334
경남 부산무,40,2,2,9,53,44,83.01886792452831
경남 충무,8,0,0,2,10,8,80.0
전북 장수군,31,1,12,13,57,44,77.19298245614034
전남 구례군,16,0,4,6,26,20,76.92307692307693
경기 파주군,9,1,0,3,13,10,76.92307692307693
충북 진천,149,2,5,56,212,156,73.58490566037736
경남 양산군,11,1,1,5,18,13,72.22222222222221
강원 삼척,32,1,3,15,51,36,70.58823529411765
전남 해남군갑,16,0,5,10,31,21,67.74193548387096
전남 무안병,10,0,0,5,15,10,66.66666666666666
충남 대전갑,7,0,3,5,15,10,66.66666666666666
경남 울산군갑,4,1,1,3,9,6,66.66666666666666
강원 횡성군,2,0,0,1,3,2,66.66666666666666
경남 울산갑,71,1,3,40,115,75,65.21739130434783
충남 당진군갑,180,0,8,107,295,188,63.72881355932203
경북 상주갑,18,0,5,14,37,23,62.16216216216216
"경남 부산시,진구을",34,2,5,25,66,41,62.121212121212125
충북 청원을,93,2,5,63,163,100,61.34969325153374
경북 영주군,10,1,3,9,23,14,60.86956521739131
충북 단양군,22,0,2,16,40,24,60.0
경기 시흥,400,3,22,290,715,425,59.44055944055944
충남 천안,11,2,3,11,27,16,59.25925925925925
충북 옥천군,47,0,3,35,85,50,58.82352941176471
서울 서대문구,65,2,3,51,121,70,57.85123966942148
전북 진안군,224,5,18,182,429,247,57.57575757575758
전남 고흥군을,64,1,3,51,119,68,57.14285714285714
전북 부안군,66,0,2,51,119,68,57.14285714285714
"경남 부산시,동래구",4,0,0,3,7,4,57.14285714285714
강원 삼척군,50,1,3,43,97,54,55.670103092783506
전남 해남군을,50,1,4,44,99,55,55.55555555555556
경북 금릉,37,1,2,32,72,40,55.55555555555556
충남 천안군을,27,0,3,24,54,30,55.55555555555556
경기 화성을,38,0,3,33,74,41,55.4054054054054
서울 동대문구,98,1,14,91,204,113,55.392156862745104
"경남 부산시,중구",30,0,5,29,64,35,54.6875
경기 평택,63,2,7,60,132,72,54.54545454545454
충북 청원군을,168,15,16,167,366,199,54.37158469945356
황해도 연백을,6,0,1,6,13,7,53.84615384615385
경북 금릉군,29,3,6,33,71,38,53.52112676056338
경북 울릉군,19,2,3,21,45,24,53.333333333333336
충북 청원군갑,59,1,5,57,122,65,53.278688524590166
서울 중구갑,125,4,21,133,283,150,53.003533568904594
전북 김제을,92,3,3,87,185,98,52.972972972972975
경북 경주,24,1,2,24,51,27,52.94117647058824
전남 여수,99,5,17,108,229,121,52.838427947598255
강원 영월군,38,0,0,34,72,38,52.77777777777778
경남 창원을,91,4,9,94,198,104,52.52525252525253
"경남 부산시,영도을",66,2,5,67,140,73,52.142857142857146
제주 제주,35,0,7,39,81,42,51.85185185185185
전북 군산,135,3,7,135,280,145,51.78571428571429
제주 북제주군을,32,0,4,34,70,36,51.42857142857142
경남 진양,116,3,17,130,266,136,51.127819548872175
경북 군위,236,4,8,241,489,248,50.715746421267895
경남 울산군을,93,1,1,94,189,95,50.264550264550266
충북 충주,42,1,4,47,94,47,50.0
경남 고성군,12,0,0,12,24,12,50.0
경북 김천군,7,3,2,12,24,12,50.0
제주 북제주을,7,0,2,9,18,9,50.0
충북 보은군,7,0,0,7,14,7,50.0
경남 부산시을,3,0,3,6,12,6,50.0
경남 삼천포시,6,0,0,6,12,6,50.0
경북 월성군을,3,1,1,5,10,5,50.0
경기 장단,0,1,0,1,2,1,50.0
"경남 부산시,서구을",55,1,7,64,127,63,49.60629921259843
강원 춘천,136,13,20,173,342,169,49.41520467836257
서울 서대문구갑,298,3,28,337,666,329,49.3993993993994
경남 의령군,30,3,6,40,79,39,49.36708860759494
충남 예산군,20,1,2,24,47,23,48.93617021276596
경기 강화,34,1,6,43,84,41,48.80952380952381
전남 강진,33,3,3,42,81,39,48.148148148148145
