SpeakerKey,Speaker,SpeechCount,DegreeCentrality,WeightedDegree,WeightedDegreeNorm,BetweennessCentrality,WeightedBetweennessCentrality,ClosenessCentrality,WeightedClosenessCentrality,EigenvectorCentrality,WeightedEigenvectorCentrality,Rank_DegreeCentrality,Rank_WeightedDegree,Rank_BetweennessCentrality,Rank_WeightedBetweennessCentrality,Rank_ClosenessCentrality,Rank_WeightedClosenessCentrality,Rank_EigenvectorCentrality,Rank_WeightedEigenvectorCentrality
이철승위원,이철승 위원,1618,0.10206869633099142,3051.0,0.5954332552693209,0.19781510553971526,0.5312584364269467,0.4059256911986057,1.5710318210669323,0.0028373395583634335,0.003052367260203941,2,10,1,1,1,2,873,477
위원장이충환,위원장 이충환,2102,0.03786104605776737,3958.0,0.7724434035909445,0.019770596276176333,0.489122656803447,0.35622914349276974,1.5721428929032057,0.0028998086805793266,0.007109694353028774,17,8,33,2,30,1,860,283
부의장조경규,부의장 조경규,6653,0.0979703356752537,12540.0,2.4473067915690865,0.08422894012982927,0.46792776186174007,0.3643344709897611,1.5584605501204545,0.03870765536311569,0.5875683563628136,3,2,4,3,16,8,146,1
재무부장관김현철,재무부장관 김현철,467,0.019320843091334895,933.0,0.18208430913348947,0.013622909354382463,0.40521195758425477,0.3775141825683342,1.5690560312933064,0.006778433457901298,0.01627330779027052,92,43,44,4,6,3,448,139
의사국장서상준,의사국장 서상준,922,0.00897736143637783,1832.0,0.35753317720530836,0.01040723102938421,0.33051179851530565,0.3455624494200162,1.5554626676733447,0.014007820925982302,0.21828445416940404,284,16,53,5,71,13,268,3
의장신익희,의장 신익희,7502,0.13895394223263074,13215.0,2.57903981264637,0.10870933829596713,0.1766142346620774,0.33657383079348396,1.5486514561265021,0.18620507085740756,0.1771499113171703,1,1,2,6,118,29,1,6
부의장조봉암,부의장 조봉암,5796,0.08138173302107728,10911.0,2.129391100702576,0.05951872328789617,0.17282154091320723,0.32129420617005267,1.5498559584620986,0.0516726325468724,0.17984026570846404,6,3,6,7,226,25,104,5
위원장박흥규,위원장 박흥규,1076,0.017369242779078843,2011.0,0.39246682279469164,0.006818077745468533,0.15639187006661878,0.3354281225451689,1.5638127316076815,0.0010791784577675572,0.0014970762357714895,109,14,75,8,122,5,1430,680
박병배위원,박병배 위원,646,0.05952380952380952,1254.0,0.24473067915690866,0.06396523204005018,0.1483993182236879,0.3624275003536568,1.5105499048500388,0.00041719158776277267,0.00012031701266167646,9,30,5,9,19,243,2012,1663
부의장이재학,부의장 이재학,3089,0.0895784543325527,5558.0,1.0846994535519126,0.08471783458771573,0.11429279485266147,0.37292576419213974,1.5501304736232298,0.04426138012925785,0.17620133439960398,4,6,3,10,7,24,129,7
강영훈위원,강영훈 위원,597,0.03981264637002342,1181.0,0.2304839968774395,0.04657265989176906,0.0959055935920158,0.35257689396545794,1.5182311335341805,0.00033534389536311144,8.485282915004628e-05,15,33,9,11,45,181,2068,1810
박영종의원,박영종 의원,1144,0.03239656518345043,2278.0,0.4445745511319282,0.005897171735962301,0.07762759763220559,0.33083677685950413,1.557028887821797,0.019832338323343603,0.4383010075116561,28,12,88,12,150,12,220,2
이진수의원,이진수 의원,1072,0.05562060889929742,2138.0,0.4172521467603435,0.0069295674062928875,0.07665774027616953,0.300845467355566,1.5420705681667817,0.15467853199558096,0.07419176309812908,10,13,73,13,474,52,3,20
위원장유용식,위원장 유용식,231,0.011514441842310695,407.0,0.07943013270882124,0.006477721721769321,0.06470848356046258,0.3488324596636939,1.5009859259012828,0.0004039066935090921,0.00016500552405874998,189,133,77,14,62,289,2024,1599
양일동위원,양일동 위원,968,0.037665886026541764,1936.0,0.37782982045277125,0.022052937145320427,0.0609290531763276,0.3685270425776755,1.5573815883417164,0.002705634460586196,0.002091089924948447,19,15,29,15,9,10,904,600
부의장김동원,부의장 김동원,4056,0.07220921155347385,6910.0,1.3485558157689306,0.018895307604597823,0.05869919521788465,0.2986710188855211,1.5313648496586456,0.1628198062063686,0.06445412911507185,7,5,34,16,528,94,2,24
유용식위원,유용식 위원,302,0.034348165495706476,603.0,0.11768149882903982,0.03607766059036681,0.045398535602629644,0.34329358166956986,1.4511138487614423,0.0001997705191540855,2.8961983023003716e-05,23,80,12,17,86,558,2217,2095
권중돈위원,권중돈 위원,310,0.037665886026541764,617.0,0.12041373926619828,0.03985599587527856,0.04292175937968138,0.35117538208484683,1.4695412912702983,0.0002981823178776168,7.108337016280116e-05,19,76,10,18,52,452,2116,1854
손도심위원,손도심 위원,238,0.027127244340359093,470.0,0.09172521467603435,0.03374723996661154,0.0401456590461176,0.34393878372935965,1.4405279800665811,0.0003309272611148497,4.478453058669473e-05,43,109,16,19,81,615,2071,1978
유옥우위원,유옥우 위원,674,0.03161592505854801,1348.0,0.26307572209211555,0.017182596325691878,0.03759102960230629,0.3643862892902859,1.5572592799040166,0.0031157459298354665,0.002107406613008237,31,27,39,20,15,11,809,599
이필호위원,이필호 위원,475,0.04020296643247463,936.0,0.18266978922716628,0.031121556265914133,0.037160608337525027,0.34428542632533765,1.511414178976265,0.00023580794345165075,6.560347432842042e-05,14,42,17,21,79,236,2164,1885
부의장윤치영,부의장 윤치영,4121,0.08840749414519906,7539.0,1.471311475409836,0.036717942695598256,0.03652886837048269,0.3247148288973384,1.5341912887133269,0.14959424523782602,0.09693958878541643,5,4,11,22,197,80,4,14
한광석위원,한광석 위원,155,0.020882123341139733,310.0,0.06049960967993755,0.017633247682718685,0.03649344013916514,0.34433169813856596,1.483059489708679,0.00025091934865992125,4.8125397545706286e-05,73,204,37,23,77,391,2153,1966
의사국장이호진,의사국장 이호진,263,0.009172521467603435,525.0,0.10245901639344263,0.012115863332566116,0.03645237386673469,0.36232498939329655,1.5434514982118754,0.0036315224508942827,0.018431031699208164,277,96,48,24,20,45,726,116
위원장하태환,위원장 하태환,265,0.0156128024980484,481.0,0.093871975019516,0.009056196848815385,0.03586121763707259,0.3505747126436782,1.5190499327802174,0.00045752632677601595,0.00015461276474749096,132,106,57,25,55,176,1993,1612
위원장이성주,위원장 이성주,733,0.009562841530054645,1232.0,0.24043715846994534,0.001039101521037649,0.032817570665607323,0.3166285608354446,1.5509464476317694,0.0005038454107657651,0.0009943861519066473,260,32,349,26,260,19,1872,804
의장이기붕,의장 이기붕,2451,0.06576893052302889,4541.0,0.8862217017954723,0.03605681867160474,0.031812672376122966,0.34949866994065887,1.5480573323378568,0.03821435854677619,0.1680758105753543,8,7,13,27,60,32,151,8
