SpeakerKey,Speaker,전체발언,발전,경계,발전경계,관련발언,관련비중,정당,지역,성별,당선횟수,당선방법
의장신익희,의장 신익희,7502,583,57,18,658,8.770994401492935,대한독립촉성국민회,전남 광주,남,3선,지역구
위원장이충환,위원장 이충환,2102,627,3,9,639,30.39961941008563,자유당,충북 진천군,남,6선,지역구
이철승위원,이철승 위원,1618,443,6,31,480,29.666254635352285,민주당,전북 전주을,남,7선,지역구
의사국장서상준,의사국장 서상준,922,415,14,42,471,51.084598698481564,미상,미상,미상,미상,미상
부의장조경규,부의장 조경규,6653,428,14,5,447,6.718773485645574,자유당,경남 함안군,남,3선,지역구
부의장조봉암,부의장 조봉암,5796,396,23,5,424,7.315389924085576,대한국민당,경기 인천병,남,재선,지역구
재무부장관김현철,재무부장관 김현철,467,314,0,21,335,71.73447537473233,미상,미상,미상,미상,미상
예산결산위원장이충환,예산결산위원장 이충환,345,295,0,11,306,88.69565217391305,자유당,충북 진천군,남,6선,지역구
송방용위원,송방용 위원,649,285,6,8,299,46.070878274268104,무소속,전북 김제군갑,남,4선,지역구
재정경제위원장이재형,재정경제위원장 이재형,441,285,0,13,298,67.57369614512471,대한국민당,경기 시흥,남,7선,지역구
유옥우위원,유옥우 위원,674,272,2,7,281,41.69139465875371,민주당,전남 무안군을,남,5선,지역구
박영종의원,박영종 의원,1144,198,35,45,278,24.3006993006993,자유당,전남 담양,남,초선,지역구
재정경제위원장박만원,재정경제위원장 박만원,547,247,1,14,262,47.89762340036563,무소속,경북 군위,남,3선,지역구
이진수의원,이진수 의원,1072,213,21,26,260,24.253731343283583,무소속,경기 양주을,남,재선,지역구
재정경제위원장홍성하,재정경제위원장 홍성하,378,234,1,8,243,64.28571428571429,한국민주당,서울 동대문구갑,남,초선,지역구
이형모위원,이형모 위원,400,230,1,3,234,58.5,자유당,전남 승주,남,재선,지역구
이태용위원,이태용 위원,619,214,7,4,225,36.34894991922455,민주당,충북 제천,남,4선,지역구
재무부차관천병규,재무부차관 천병규,354,209,2,11,222,62.71186440677966,미상,미상,미상,미상,미상
양일동위원,양일동 위원,968,216,4,1,221,22.83057851239669,무소속,전북 옥구,남,5선,지역구
재무부장관송인상,재무부장관 송인상,262,165,0,34,199,75.95419847328245,미상,미상,미상,미상,미상
부의장이재학,부의장 이재학,3089,159,20,7,186,6.021366137908708,자유당,강원 홍천군,남,5선,지역구
민관식위원,민관식 위원,500,162,0,20,182,36.4,무소속,서울 동대문구갑,남,5선,지역구
곽의영의원,곽의영 의원,314,149,15,15,179,57.00636942675159,무소속,충북 청원군을,남,3선,지역구
박정근위원,박정근 위원,326,164,3,11,178,54.601226993865026,자유당,전북 진안군,남,재선,지역구
조영규의원,조영규 의원,905,146,14,13,173,19.116022099447513,민주국민당,전남 영광군,남,4선,지역구
정준의원,정준 의원,639,101,37,31,169,26.447574334898277,무소속,경기 김포,남,4선,지역구
