정당,발전,경계,발전+경계,미분류,전체,관련발언,관련비중,발전비중,경계비중
대한노동총연맹,54,2,4,27,87,60,68.96551724137932,62.06896551724138,2.2988505747126435
제헌국회호헌동지회,2,1,1,5,9,4,44.44444444444444,22.22222222222222,11.11111111111111
일민국락부,53,3,8,83,147,64,43.53741496598639,36.054421768707485,2.0408163265306123
대한청년단,110,4,17,195,326,131,40.1840490797546,33.74233128834356,1.2269938650306749
호헌동지회,2,0,0,3,5,2,40.0,40.0,0.0
중앙불교위원회,14,0,1,24,39,15,38.46153846153847,35.8974358974359,0.0
국민당,84,4,5,154,247,93,37.65182186234818,34.0080971659919,1.6194331983805668
조선민주당,47,5,10,105,167,62,37.12574850299401,28.143712574850298,2.9940119760479043
통일당,11,4,0,27,42,15,35.714285714285715,26.190476190476193,9.523809523809524
국민회,7,0,0,13,20,7,35.0,35.0,0.0
조선민족청년단,146,6,5,298,455,157,34.505494505494504,32.08791208791209,1.3186813186813187
대한부인회,6,1,0,15,22,7,31.818181818181817,27.27272727272727,4.545454545454546
대한여자국민당,20,5,6,70,101,31,30.693069306930692,19.801980198019802,4.9504950495049505
애국단체연합회,3,1,1,12,17,5,29.411764705882355,17.647058823529413,5.88235294117647
무소속,7309,538,748,22591,31186,8595,27.560443788879624,23.436798563457963,1.7251330725325464
민주당,2679,117,318,9278,12392,3114,25.129115558424793,21.618786313750807,0.9441575209812783
자유당,9864,385,585,38526,49360,10834,21.948946515397083,19.983792544570502,0.7799837925445705
민주국민당,1166,80,134,5326,6706,1380,20.578586340590515,17.38741425589025,1.1929615269907545
교육협회,14,3,1,84,102,18,17.647058823529413,13.725490196078432,2.941176470588235
대동청년당,91,14,10,562,677,115,16.986706056129986,13.44165435745938,2.06794682422452
민족통일본부,4,6,2,67,79,12,15.18987341772152,5.063291139240507,7.59493670886076
전도회,16,1,0,103,120,17,14.166666666666666,13.333333333333334,0.8333333333333334
대한독립촉성국민회,928,122,69,7530,8649,1119,12.93791189732917,10.729564111457972,1.4105676956873627
대한국민당,1206,75,81,9456,10818,1362,12.590127565169162,11.148086522462561,0.6932889628397115
한국민주당,1252,106,68,9908,11334,1426,12.581612846303159,11.046409034762661,0.9352391035821422
한국독립당,5,2,0,56,63,7,11.11111111111111,7.936507936507936,3.1746031746031744
단민당,9,0,0,89,98,9,9.183673469387756,9.183673469387756,0.0
미상,37011,2146,1339,504005,544501,40496,7.4372682511143235,6.797232695624067,0.3941223248442152
부산15구락부,1,0,0,13,14,1,7.142857142857142,7.142857142857142,0.0
조선공화당,59,8,1,2045,2113,68,3.218173213440606,2.7922385234264078,0.37860861334595364
