정당,Family,Month,Count
자유당,기술,1948-06,0
자유당,기술,1948-07,0
자유당,기술,1948-08,0
자유당,기술,1948-09,0
자유당,기술,1948-10,0
자유당,기술,1948-11,0
자유당,기술,1948-12,0
자유당,기술,1949-01,0
자유당,기술,1949-02,0
자유당,기술,1949-03,0
자유당,기술,1949-04,0
자유당,기술,1949-05,0
자유당,기술,1949-06,0
자유당,기술,1949-07,0
자유당,기술,1949-08,0
자유당,기술,1949-09,0
자유당,기술,1949-10,0
자유당,기술,1949-11,0
자유당,기술,1949-12,0
자유당,기술,1950-01,0
자유당,기술,1950-02,0
자유당,기술,1950-03,0
자유당,기술,1950-04,0
자유당,기술,1950-06,0
자유당,기술,1950-10,0
자유당,기술,1950-11,0
자유당,기술,1950-12,0
자유당,기술,1951-01,0
자유당,기술,1951-02,0
자유당,기술,1951-03,0
자유당,기술,1951-04,0
자유당,기술,1951-05,0
자유당,기술,1951-06,0
자유당,기술,1951-07,0
자유당,기술,1951-08,0
자유당,기술,1951-09,0
자유당,기술,1951-10,0
자유당,기술,1951-11,0
자유당,기술,1951-12,0
자유당,기술,1952-01,0
자유당,기술,1952-02,0
자유당,기술,1952-03,0
자유당,기술,1952-04,0
자유당,기술,1952-05,0
자유당,기술,1952-06,0
자유당,기술,1952-07,0
자유당,기술,1952-08,0
자유당,기술,1952-09,2
자유당,기술,1952-10,0
자유당,기술,1952-11,1
자유당,기술,1952-12,0
자유당,기술,1953-01,0
자유당,기술,1953-02,0
자유당,기술,1953-03,1
자유당,기술,1953-04,2
자유당,기술,1953-05,0
자유당,기술,1953-06,0
자유당,기술,1953-07,0
자유당,기술,1953-08,0
자유당,기술,1953-09,0
자유당,기술,1953-10,0
자유당,기술,1953-11,0
자유당,기술,1953-12,0
자유당,기술,1954-01,0
자유당,기술,1954-02,0
자유당,기술,1954-03,1
자유당,기술,1954-04,0
자유당,기술,1954-05,0
자유당,기술,1954-06,5
자유당,기술,1954-07,20
자유당,기술,1954-08,26
자유당,기술,1954-09,55
자유당,기술,1954-10,59
자유당,기술,1954-11,34
자유당,기술,1954-12,83
자유당,기술,1955-01,83
자유당,기술,1955-02,10
자유당,기술,1955-03,38
자유당,기술,1955-04,44
자유당,기술,1955-05,84
자유당,기술,1955-06,231
자유당,기술,1955-07,245
자유당,기술,1955-08,0
자유당,기술,1955-09,18
자유당,기술,1955-10,44
자유당,기술,1955-11,62
자유당,기술,1955-12,40
자유당,기술,1956-01,75
자유당,기술,1956-02,73
자유당,기술,1956-03,4
자유당,기술,1956-04,1
자유당,기술,1956-05,9
자유당,기술,1956-06,37
자유당,기술,1956-07,229
자유당,기술,1956-08,15
자유당,기술,1956-09,6
자유당,기술,1956-10,51
자유당,기술,1956-11,14
자유당,기술,1956-12,168
자유당,기술,1957-01,34
자유당,기술,1957-02,16
자유당,기술,1957-03,73
자유당,기술,1957-04,30
자유당,기술,1957-05,4
자유당,기술,1957-06,64
자유당,기술,1957-07,72
자유당,기술,1957-08,27
자유당,기술,1957-09,32
자유당,기술,1957-10,22
자유당,기술,1957-11,29
자유당,기술,1957-12,217
자유당,기술,1958-01,2
자유당,기술,1958-02,50
자유당,기술,1958-03,0
자유당,기술,1958-04,1
자유당,기술,1958-05,1
자유당,기술,1958-06,44
자유당,기술,1958-07,262
자유당,기술,1958-08,185
자유당,기술,1958-09,42
자유당,기술,1958-10,33
자유당,기술,1958-11,227
자유당,기술,1958-12,226
자유당,기술,1959-01,0
자유당,기술,1959-02,3
자유당,기술,1959-03,2
자유당,기술,1959-04,3
자유당,기술,1959-05,35
자유당,기술,1959-06,100
자유당,기술,1959-07,1
자유당,기술,1959-09,1
자유당,기술,1959-10,27
자유당,기술,1959-11,308
자유당,기술,1959-12,193
자유당,기술,1960-01,77
자유당,기술,1960-02,2
자유당,기술,1960-03,3
자유당,기술,1960-04,8
무소속,기술,1948-06,25
무소속,기술,1948-07,40
무소속,기술,1948-08,19
무소속,기술,1948-09,84
무소속,기술,1948-10,27
무소속,기술,1948-11,27
무소속,기술,1948-12,24
무소속,기술,1949-01,21
무소속,기술,1949-02,31
무소속,기술,1949-03,58
무소속,기술,1949-04,68
무소속,기술,1949-05,15
무소속,기술,1949-06,13
무소속,기술,1949-07,29
무소속,기술,1949-08,0
무소속,기술,1949-09,11
무소속,기술,1949-10,20
무소속,기술,1949-11,105
무소속,기술,1949-12,11
무소속,기술,1950-01,59
무소속,기술,1950-02,42
무소속,기술,1950-03,32
무소속,기술,1950-04,29
무소속,기술,1950-06,0
무소속,기술,1950-10,4
무소속,기술,1950-11,34
무소속,기술,1950-12,7
무소속,기술,1951-01,18
무소속,기술,1951-02,34
무소속,기술,1951-03,43
무소속,기술,1951-04,48
무소속,기술,1951-05,32
무소속,기술,1951-06,46
무소속,기술,1951-07,35
무소속,기술,1951-08,53
무소속,기술,1951-09,40
무소속,기술,1951-10,16
무소속,기술,1951-11,50
무소속,기술,1951-12,38
무소속,기술,1952-01,6
무소속,기술,1952-02,12
무소속,기술,1952-03,24
무소속,기술,1952-04,23
무소속,기술,1952-05,17
무소속,기술,1952-06,2
무소속,기술,1952-07,13
무소속,기술,1952-08,6
무소속,기술,1952-09,25
무소속,기술,1952-10,9
무소속,기술,1952-11,58
무소속,기술,1952-12,20
무소속,기술,1953-01,22
무소속,기술,1953-02,32
무소속,기술,1953-03,19
무소속,기술,1953-04,62
무소속,기술,1953-05,34
무소속,기술,1953-06,19
무소속,기술,1953-07,45
무소속,기술,1953-08,3
무소속,기술,1953-09,15
무소속,기술,1953-10,30
무소속,기술,1953-11,119
무소속,기술,1953-12,14
무소속,기술,1954-01,16
무소속,기술,1954-02,22
무소속,기술,1954-03,81
무소속,기술,1954-04,2
무소속,기술,1954-05,0
무소속,기술,1954-06,3
무소속,기술,1954-07,10
무소속,기술,1954-08,7
무소속,기술,1954-09,18
무소속,기술,1954-10,30
무소속,기술,1954-11,17
무소속,기술,1954-12,30
무소속,기술,1955-01,33
무소속,기술,1955-02,2
무소속,기술,1955-03,14
무소속,기술,1955-04,9
무소속,기술,1955-05,35
무소속,기술,1955-06,83
무소속,기술,1955-07,70
무소속,기술,1955-08,0
무소속,기술,1955-09,8
무소속,기술,1955-10,14
무소속,기술,1955-11,23
무소속,기술,1955-12,14
무소속,기술,1956-01,25
무소속,기술,1956-02,23
무소속,기술,1956-03,0
무소속,기술,1956-04,0
무소속,기술,1956-05,7
무소속,기술,1956-06,18
무소속,기술,1956-07,90
무소속,기술,1956-08,6
무소속,기술,1956-09,2
무소속,기술,1956-10,17
무소속,기술,1956-11,1
무소속,기술,1956-12,89
무소속,기술,1957-01,11
무소속,기술,1957-02,6
무소속,기술,1957-03,22
무소속,기술,1957-04,13
무소속,기술,1957-05,0
무소속,기술,1957-06,18
무소속,기술,1957-07,31
무소속,기술,1957-08,13
무소속,기술,1957-09,5
무소속,기술,1957-10,21
무소속,기술,1957-11,15
무소속,기술,1957-12,72
무소속,기술,1958-01,1
무소속,기술,1958-02,13
무소속,기술,1958-03,0
무소속,기술,1958-04,0
무소속,기술,1958-05,0
무소속,기술,1958-06,3
무소속,기술,1958-07,49
무소속,기술,1958-08,28
무소속,기술,1958-09,1
무소속,기술,1958-10,4
무소속,기술,1958-11,51
무소속,기술,1958-12,18
무소속,기술,1959-01,0
무소속,기술,1959-02,2
무소속,기술,1959-03,0
무소속,기술,1959-04,1
무소속,기술,1959-05,15
무소속,기술,1959-06,16
무소속,기술,1959-07,2
무소속,기술,1959-09,0
무소속,기술,1959-10,9
무소속,기술,1959-11,80
무소속,기술,1959-12,37
무소속,기술,1960-01,20
무소속,기술,1960-02,0
무소속,기술,1960-03,1
무소속,기술,1960-04,5
민주당,기술,1948-06,0
민주당,기술,1948-07,0
민주당,기술,1948-08,0
민주당,기술,1948-09,0
민주당,기술,1948-10,0
민주당,기술,1948-11,0
민주당,기술,1948-12,0
