,1948-06,1948-07,1948-08,1948-09,1948-10,1948-11,1948-12,1949-01,1949-02,1949-03,1949-04,1949-05,1949-06,1949-07,1949-08,1949-09,1949-10,1949-11,1949-12,1950-01,1950-02,1950-03,1950-04,1950-06,1950-10,1950-11,1950-12,1951-01,1951-02,1951-03,1951-04,1951-05,1951-06,1951-07,1951-08,1951-09,1951-10,1951-11,1951-12,1952-01,1952-02,1952-03,1952-04,1952-05,1952-06,1952-07,1952-08,1952-09,1952-10,1952-11,1952-12,1953-01,1953-02,1953-03,1953-04,1953-05,1953-06,1953-07,1953-08,1953-09,1953-10,1953-11,1953-12,1954-01,1954-02,1954-03,1954-04,1954-05,1954-06,1954-07,1954-08,1954-09,1954-10,1954-11,1954-12,1955-01,1955-02,1955-03,1955-04,1955-05,1955-06,1955-07,1955-08,1955-09,1955-10,1955-11,1955-12,1956-01,1956-02,1956-03,1956-04,1956-05,1956-06,1956-07,1956-08,1956-09,1956-10,1956-11,1956-12,1957-01,1957-02,1957-03,1957-04,1957-05,1957-06,1957-07,1957-08,1957-09,1957-10,1957-11,1957-12,1958-01,1958-02,1958-03,1958-04,1958-05,1958-06,1958-07,1958-08,1958-09,1958-10,1958-11,1958-12,1959-01,1959-02,1959-03,1959-04,1959-05,1959-06,1959-07,1959-09,1959-10,1959-11,1959-12,1960-01,1960-02,1960-03,1960-04
개발,2.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,19.0,11.0,3.0,0.0,3.0,0.0,1.0,2.0,27.0,23.0,1.0,11.0,16.0,44.0,2.0,0.0,5.0,0.0,13.0,9.0,13.0,14.0,12.0,1.0,2.0,8.0,5.0,6.0,29.0,18.0,8.0,0.0,20.0,21.0,8.0,5.0,10.0,1.0,11.0,1.0,10.0,13.0,3.0,1.0,7.0,14.0,10.0,7.0,4.0,0.0,3.0,11.0,7.0,3.0,0.0,26.0,30.0,27.0,0.0,0.0,7.0,2.0,8.0,7.0,16.0,38.0,18.0,3.0,1.0,12.0,13.0,68.0,15.0,3.0,3.0,4.0,3.0,9.0,10.0,9.0,0.0,0.0,0.0,1.0,29.0,4.0,0.0,1.0,2.0,53.0,3.0,4.0,12.0,3.0,0.0,22.0,25.0,1.0,11.0,1.0,9.0,44.0,0.0,2.0,0.0,1.0,0.0,16.0,72.0,31.0,2.0,17.0,110.0,111.0,0.0,2.0,2.0,0.0,14.0,42.0,0.0,0.0,12.0,190.0,161.0,48.0,0.0,0.0,0.0
건설,35.0,54.0,30.0,35.0,22.0,24.0,20.0,10.0,18.0,55.0,73.0,10.0,15.0,32.0,2.0,9.0,31.0,75.0,10.0,19.0,21.0,66.0,30.0,3.0,2.0,12.0,3.0,7.0,11.0,17.0,45.0,14.0,10.0,8.0,32.0,10.0,10.0,28.0,16.0,7.0,9.0,37.0,19.0,10.0,5.0,12.0,2.0,13.0,5.0,20.0,5.0,11.0,18.0,18.0,31.0,7.0,5.0,1.0,5.0,18.0,8.0,26.0,1.0,4.0,40.0,36.0,24.0,0.0,5.0,27.0,21.0,19.0,42.0,17.0,43.0,66.0,4.0,19.0,30.0,41.0,97.0,46.0,1.0,22.0,29.0,9.0,12.0,14.0,18.0,0.0,0.0,5.0,20.0,60.0,13.0,7.0,10.0,5.0,77.0,8.0,4.0,40.0,16.0,2.0,33.0,30.0,15.0,12.0,13.0,44.0,122.0,4.0,188.0,1.0,4.0,1.0,15.0,131.0,128.0,32.0,37.0,135.0,83.0,0.0,7.0,9.0,1.0,48.0,39.0,11.0,1.0,23.0,226.0,108.0,136.0,2.0,4.0,10.0
경제,85.0,103.0,35.0,129.0,58.0,45.0,68.0,92.0,53.0,315.0,280.0,43.0,26.0,128.0,4.0,170.0,91.0,339.0,129.0,141.0,172.0,184.0,229.0,12.0,2.0,255.0,23.0,51.0,62.0,221.0,244.0,127.0,102.0,78.0,170.0,139.0,99.0,137.0,170.0,20.0,25.0,139.0,101.0,61.0,19.0,38.0,48.0,112.0,61.0,280.0,120.0,123.0,164.0,120.0,157.0,69.0,52.0,53.0,23.0,78.0,147.0,201.0,30.0,66.0,166.0,276.0,47.0,9.0,14.0,76.0,67.0,210.0,114.0,147.0,156.0,99.0,14.0,87.0,139.0,219.0,397.0,286.0,8.0,112.0,103.0,186.0,190.0,104.0,187.0,9.0,2.0,30.0,109.0,284.0,46.0,19.0,106.0,70.0,480.0,150.0,61.0,123.0,42.0,18.0,160.0,209.0,47.0,130.0,63.0,136.0,457.0,10.0,95.0,1.0,6.0,0.0,74.0,545.0,434.0,42.0,104.0,402.0,392.0,0.0,27.0,40.0,9.0,83.0,290.0,38.0,19.0,68.0,455.0,572.0,60.0,0.0,6.0,6.0
공업,6.0,15.0,32.0,10.0,15.0,2.0,3.0,6.0,4.0,17.0,32.0,3.0,3.0,5.0,0.0,18.0,3.0,53.0,3.0,12.0,13.0,18.0,37.0,0.0,2.0,12.0,1.0,1.0,1.0,24.0,21.0,3.0,9.0,3.0,4.0,16.0,9.0,7.0,9.0,7.0,3.0,41.0,6.0,4.0,1.0,2.0,2.0,11.0,5.0,85.0,8.0,10.0,10.0,8.0,13.0,2.0,3.0,4.0,0.0,15.0,17.0,11.0,1.0,5.0,21.0,24.0,19.0,0.0,2.0,17.0,13.0,33.0,6.0,5.0,35.0,31.0,0.0,7.0,20.0,23.0,69.0,44.0,0.0,15.0,12.0,4.0,8.0,21.0,12.0,3.0,0.0,7.0,6.0,47.0,17.0,3.0,6.0,2.0,68.0,13.0,7.0,26.0,5.0,0.0,15.0,14.0,4.0,9.0,6.0,13.0,56.0,1.0,20.0,0.0,1.0,0.0,16.0,93.0,61.0,4.0,8.0,101.0,61.0,0.0,0.0,1.0,6.0,14.0,59.0,1.0,0.0,8.0,154.0,110.0,11.0,0.0,1.0,3.0
근로,18.0,53.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,10.0,5.0,1.0,0.0,20.0,0.0,9.0,2.0,19.0,1.0,3.0,10.0,3.0,8.0,2.0,0.0,4.0,0.0,0.0,1.0,43.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,68.0,2.0,6.0,3.0,13.0,1.0,1.0,3.0,2.0,1.0,5.0,23.0,2.0,16.0,103.0,173.0,15.0,177.0,63.0,8.0,3.0,0.0,6.0,4.0,0.0,1.0,0.0,16.0,7.0,6.0,1.0,0.0,6.0,13.0,6.0,2.0,1.0,3.0,1.0,8.0,7.0,0.0,4.0,3.0,8.0,2.0,3.0,3.0,9.0,1.0,4.0,6.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,1.0,1.0,25.0,0.0,2.0,2.0,1.0,0.0,9.0,4.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,14.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,4.0,16.0,24.0,1.0,0.0,0.0,0.0
기계,4.0,5.0,1.0,0.0,11.0,2.0,2.0,4.0,5.0,4.0,21.0,2.0,3.0,4.0,0.0,11.0,6.0,58.0,5.0,5.0,10.0,5.0,42.0,0.0,1.0,13.0,1.0,1.0,4.0,21.0,20.0,5.0,1.0,2.0,4.0,2.0,3.0,18.0,14.0,4.0,0.0,15.0,13.0,3.0,0.0,2.0,18.0,6.0,0.0,10.0,10.0,4.0,12.0,17.0,11.0,5.0,0.0,5.0,0.0,12.0,8.0,9.0,0.0,0.0,16.0,49.0,20.0,0.0,0.0,7.0,8.0,10.0,21.0,13.0,15.0,14.0,0.0,14.0,10.0,14.0,55.0,27.0,0.0,6.0,7.0,8.0,6.0,12.0,15.0,1.0,1.0,0.0,9.0,38.0,7.0,1.0,9.0,4.0,55.0,3.0,2.0,14.0,7.0,4.0,8.0,20.0,3.0,9.0,5.0,13.0,56.0,1.0,13.0,0.0,0.0,0.0,14.0,94.0,41.0,6.0,16.0,87.0,52.0,0.0,2.0,5.0,2.0,26.0,41.0,0.0,0.0,7.0,179.0,81.0,11.0,0.0,1.0,5.0
노동자,17.0,44.0,3.0,19.0,3.0,2.0,5.0,6.0,3.0,7.0,13.0,2.0,2.0,14.0,0.0,5.0,0.0,64.0,9.0,7.0,7.0,4.0,13.0,1.0,0.0,7.0,0.0,1.0,3.0,7.0,6.0,2.0,0.0,8.0,3.0,2.0,12.0,11.0,9.0,11.0,14.0,10.0,2.0,2.0,3.0,8.0,0.0,3.0,3.0,1.0,6.0,162.0,26.0,16.0,39.0,12.0,3.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,4.0,2.0,9.0,4.0,8.0,14.0,4.0,2.0,5.0,3.0,6.0,20.0,13.0,1.0,1.0,4.0,2.0,1.0,4.0,6.0,0.0,0.0,2.0,12.0,4.0,4.0,2.0,3.0,1.0,11.0,3.0,0.0,9.0,4.0,3.0,14.0,12.0,3.0,0.0,1.0,3.0,17.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,17.0,0.0,1.0,10.0,11.0,0.0,3.0,0.0,1.0,3.0,73.0,43.0,0.0,0.0,23.0,36.0,0.0,0.0,0.0,3.0
동포,70.0,54.0,58.0,87.0,46.0,40.0,26.0,18.0,17.0,20.0,40.0,10.0,15.0,12.0,0.0,5.0,47.0,21.0,4.0,31.0,36.0,22.0,11.0,9.0,1.0,41.0,13.0,18.0,11.0,18.0,6.0,23.0,4.0,7.0,10.0,8.0,17.0,10.0,7.0,7.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,2.0,19.0,4.0,6.0,3.0,5.0,6.0,6.0,6.0,2.0,4.0,2.0,5.0,11.0,1.0,7.0,11.0,4.0,4.0,0.0,6.0,9.0,10.0,10.0,11.0,17.0,10.0,11.0,0.0,4.0,7.0,7.0,10.0,10.0,0.0,3.0,17.0,3.0,5.0,4.0,12.0,5.0,0.0,2.0,8.0,12.0,7.0,11.0,8.0,9.0,6.0,6.0,0.0,3.0,17.0,0.0,10.0,15.0,11.0,7.0,23.0,5.0,19.0,0.0,9.0,0.0,0.0,0.0,5.0,18.0,19.0,0.0,2.0,5.0,19.0,0.0,10.0,7.0,2.0,5.0,11.0,4.0,2.0,10.0,8.0,30.0,3.0,0.0,5.0,6.0
물가,1.0,3.0,1.0,26.0,9.0,5.0,1.0,5.0,5.0,53.0,21.0,0.0,1.0,15.0,0.0,7.0,1.0,19.0,2.0,29.0,18.0,20.0,38.0,0.0,0.0,42.0,2.0,7.0,15.0,27.0,32.0,15.0,26.0,6.0,11.0,12.0,8.0,13.0,37.0,4.0,3.0,37.0,8.0,2.0,1.0,16.0,6.0,22.0,9.0,35.0,22.0,8.0,48.0,20.0,12.0,6.0,4.0,2.0,1.0,13.0,41.0,24.0,1.0,1.0,19.0,22.0,15.0,0.0,5.0,21.0,27.0,81.0,60.0,17.0,84.0,18.0,5.0,16.0,21.0,54.0,43.0,124.0,1.0,86.0,11.0,34.0,33.0,23.0,29.0,2.0,0.0,9.0,14.0,53.0,2.0,2.0,9.0,4.0,118.0,11.0,1.0,44.0,4.0,0.0,22.0,19.0,5.0,11.0,17.0,16.0,112.0,0.0,4.0,0.0,0.0,0.0,5.0,148.0,76.0,18.0,19.0,72.0,42.0,0.0,1.0,3.0,0.0,21.0,73.0,4.0,2.0,7.0,90.0,103.0,4.0,0.0,0.0,1.0
물자,4.0,20.0,7.0,99.0,35.0,16.0,25.0,31.0,21.0,31.0,41.0,16.0,11.0,17.0,0.0,9.0,9.0,52.0,22.0,32.0,37.0,50.0,57.0,3.0,1.0,36.0,1.0,23.0,25.0,53.0,63.0,29.0,49.0,29.0,35.0,32.0,37.0,44.0,31.0,9.0,6.0,98.0,16.0,3.0,7.0,14.0,17.0,16.0,7.0,50.0,30.0,16.0,41.0,56.0,46.0,12.0,10.0,7.0,1.0,23.0,22.0,16.0,10.0,3.0,78.0,61.0,44.0,2.0,4.0,25.0,26.0,35.0,97.0,12.0,21.0,36.0,7.0,9.0,12.0,52.0,98.0,50.0,2.0,18.0,9.0,15.0,22.0,26.0,33.0,1.0,0.0,16.0,19.0,60.0,7.0,2.0,13.0,5.0,77.0,9.0,5.0,25.0,10.0,5.0,11.0,32.0,30.0,18.0,35.0,13.0,68.0,2.0,9.0,0.0,1.0,0.0,13.0,189.0,66.0,5.0,40.0,208.0,72.0,0.0,5.0,157.0,6.0,21.0,70.0,25.0,0.0,34.0,276.0,174.0,14.0,0.0,1.0,2.0
